# trajectory_scans.csv - SYNTHETIC trajectory + noisy odometry + noisy range scans (project 04.01)
# generated by scripts/make_synthetic.py, seed 42 (Python random.Random - deterministic draws)
# INIT,x_m,y_m,theta_rad : the TRUE start pose (the filter initializes its particle cloud around it)
# each STEP row: ground-truth pose AFTER applying that step's true twist; the NOISY odometry
#   measurement of the twist (v + N(0,0.05) m/s, w + N(0,0.05) rad/s); and 16 NOISY ranges
#   (true raycast + N(0,0.10) m, clamped to [0.125, 8.0]) measured at the post-step true pose.
# beam b points at world angle gt_theta_rad + (-pi + b*pi/8): z00 rear, z04 right, z08 forward, z12 left.
# units: m, m/s, rad, rad/s, s; frame: world (origin lower-left map corner, x right, y up); theta UNWRAPPED.
# license: same as the repository (MIT) - fully synthetic, no external source
INIT,6.000000,6.000000,0.000000
STEP,t_s,gt_x_m,gt_y_m,gt_theta_rad,odo_v_ms,odo_w_rads,z00_m,z01_m,z02_m,z03_m,z04_m,z05_m,z06_m,z07_m,z08_m,z09_m,z10_m,z11_m,z12_m,z13_m,z14_m,z15_m
75,7.6,6.500000,9.270620,3.141593,0.954881,0.041382,8.0000,5.4612,8.0000,7.0732,6.5000,7.2682,2.5894,6.7846,6.4046,6.9912,8.0000,7.1841,8.0000,7.9205,1.9218,7.9684
76,7.7,6.400000,9.270620,3.141593,0.888252,0.046310,8.0000,5.7328,7.9864,7.1438,6.6115,7.1638,2.5288,7.0714,6.2331,6.7669,8.0000,6.9195,7.8959,7.8568,1.9284,8.0000
77,7.8,6.300000,9.270620,3.141593,1.037074,-0.067678,8.0000,5.8697,7.9903,7.1283,6.5676,4.1617,2.5642,6.5164,6.1075,6.5038,8.0000,6.8030,7.9901,8.0000,1.7193,8.0000
78,7.9,6.200000,9.270620,3.141593,0.976636,0.006453,8.0000,5.6743,8.0000,7.1374,6.5028,3.9306,2.3753,6.5594,6.0062,6.6036,7.9783,6.5887,8.0000,7.9941,1.7576,7.9806
79,8.0,6.100000,9.270620,3.141593,1.063382,-0.004655,7.9130,5.9466,7.8147,6.9130,6.4996,3.6431,2.5220,6.2857,5.8600,6.2351,8.0000,6.4635,7.9851,8.0000,1.8243,7.9477
80,8.1,6.000000,9.270620,3.298672,1.039407,1.648245,7.8496,6.5340,7.8764,6.6155,6.7846,2.5668,2.9196,6.0219,5.9392,6.7681,8.0000,8.0000,7.7007,7.9710,2.1763,7.9796
81,8.2,5.901231,9.254977,3.455752,1.000673,1.538239,5.8915,8.0000,7.4347,6.5579,3.8180,2.4425,6.5017,5.6445,6.0780,7.4392,6.8655,7.9808,7.7728,7.8785,7.8216,7.9783
82,8.3,5.806126,9.224075,3.612832,0.997090,1.550731,6.3513,7.8884,6.7905,6.6002,2.5038,2.8209,5.8278,5.7524,6.1132,8.0000,6.7325,8.0000,8.0000,2.1820,8.0000,7.9991
83,8.4,5.717025,9.178676,3.769911,1.120590,1.555583,8.0000,7.8147,6.6326,7.0111,2.2690,3.2768,5.7103,5.7319,6.8802,6.9739,8.0000,8.0000,7.9344,2.4482,7.8757,7.9441
84,8.5,5.636123,9.119898,3.926991,0.947443,1.460795,7.8823,7.3722,6.6402,2.3200,2.6339,5.9616,5.5001,5.9241,7.6144,6.2579,7.9026,8.0000,7.6193,8.0000,7.6837,6.4860
85,8.6,5.565412,9.049187,4.084070,0.975302,1.679439,7.9489,7.0028,6.9410,2.2874,3.4623,5.4355,5.6289,6.3293,8.0000,7.9276,7.9789,8.0000,2.2967,7.9448,8.0000,6.8732
86,8.7,5.506634,8.968285,4.241150,1.063949,1.539381,7.6573,6.7602,2.5484,2.7963,6.1136,5.5104,5.7504,7.0209,6.3774,8.0000,7.8696,7.9561,2.3237,8.0000,6.7843,7.9996
87,8.8,5.461235,8.879185,4.398230,0.915497,1.557033,7.2674,6.9649,2.6412,3.3502,5.3564,5.2967,5.7602,8.0000,6.0270,7.8597,8.0000,7.6119,7.7996,8.0000,6.9234,8.0000
88,8.9,5.430333,8.784079,4.555309,1.017166,1.595391,7.0557,3.1411,2.6150,6.3209,5.4028,5.2564,6.4995,6.6420,7.9509,7.9838,7.9598,8.0000,7.9392,7.9990,8.0000,7.9792
89,9.0,5.414690,8.685310,4.712389,0.956678,1.503719,6.9732,2.5070,3.2029,5.5523,5.2800,5.6304,7.2923,5.8982,7.9007,7.8612,7.8764,2.4464,7.8595,6.6267,7.9382,7.9928
90,9.1,5.414690,8.585310,4.712389,0.910154,0.009665,7.2166,2.5479,3.5315,5.6406,5.1431,5.6676,7.4139,6.0059,7.9390,8.0000,7.9803,2.1774,8.0000,6.6168,7.9118,7.9683
91,9.2,5.414690,8.485310,4.712389,0.976419,0.050844,7.3667,2.8250,3.6929,5.6723,5.1468,5.7170,7.3772,5.9502,8.0000,8.0000,7.9235,2.3344,8.0000,6.5080,7.8830,7.8641
92,9.3,5.414690,8.385310,4.712389,0.996106,0.010104,7.4867,2.8350,3.8181,5.6105,5.2306,5.6507,7.1682,5.6316,7.9362,7.9070,7.8113,7.9557,7.8123,6.9620,7.9761,7.8318
93,9.4,5.414690,8.285310,4.712389,0.966324,0.037748,7.4405,2.9719,3.8381,5.6122,5.0800,5.6205,7.3192,5.7954,7.9787,7.9544,8.0000,7.9844,8.0000,7.0376,8.0000,7.9372
94,9.5,5.414690,8.185310,4.712389,1.018768,0.056618,7.5945,3.1250,4.0587,5.6933,5.1410,5.6431,7.2805,5.3005,7.9352,8.0000,8.0000,8.0000,7.9943,7.2909,7.9031,8.0000
95,9.6,5.414690,8.085310,4.712389,0.923081,-0.015848,7.6934,3.4250,7.2737,5.7352,5.3813,5.6083,7.4215,5.0961,7.8662,7.9785,7.7420,8.0000,8.0000,7.4557,7.8588,7.9251
96,9.7,5.414690,7.985310,4.712389,0.973541,-0.015318,7.7792,3.2742,7.4057,5.5775,5.2393,5.6020,7.4207,5.2346,7.8362,8.0000,8.0000,8.0000,1.9790,8.0000,8.0000,7.9027
97,9.8,5.414690,7.885310,4.712389,0.998406,-0.017860,7.9191,3.4270,7.3081,5.7563,5.1643,5.6112,7.4774,5.3203,7.6987,8.0000,8.0000,7.8418,2.0295,7.8795,7.9497,7.9583
98,9.9,5.414690,7.785310,4.712389,1.001397,0.063885,8.0000,3.7653,7.3507,5.7039,5.2914,5.7757,7.3371,5.0845,7.7879,7.9279,7.9925,8.0000,2.0815,7.9125,8.0000,7.9770
99,10.0,5.414690,7.685310,4.712389,1.086705,-0.025421,7.9793,3.7047,7.3544,5.5351,5.1780,5.6523,7.3084,4.8838,7.2743,7.9442,7.9820,7.9487,2.0256,7.9116,8.0000,8.0000
100,10.1,5.414690,7.585310,4.712389,0.930079,-0.013813,8.0000,3.7834,7.3656,5.5799,5.2513,5.6149,7.1564,4.6784,7.1800,8.0000,8.0000,7.9212,2.2055,8.0000,7.9377,8.0000
101,10.2,5.414690,7.485310,4.712389,1.018125,-0.011835,7.8894,3.8194,7.3355,5.3934,5.3030,5.5928,7.4209,4.5831,7.5498,7.7093,7.9067,8.0000,8.0000,7.9008,8.0000,7.9083
102,10.3,5.414690,7.385310,4.712389,1.064668,0.003770,8.0000,4.1782,7.3102,5.9186,5.1376,5.5936,7.5558,4.4265,7.1859,7.7631,8.0000,8.0000,7.9254,8.0000,8.0000,8.0000
103,10.4,5.414690,7.285310,4.712389,1.016408,-0.062649,8.0000,4.0629,7.5069,5.4575,5.3060,5.5185,7.5022,4.4521,7.1469,7.6755,7.9663,8.0000,7.9950,8.0000,8.0000,7.7519
104,10.5,5.414690,7.185310,4.712389,0.974317,0.075875,8.0000,4.2605,7.3624,5.5915,5.3131,5.6829,7.2771,4.4412,7.1233,7.5295,7.9813,7.7964,8.0000,7.9579,7.9471,7.9536
105,10.6,5.414690,7.085310,4.712389,1.019262,0.021456,7.9981,4.1136,7.2660,5.6887,5.1279,5.6476,7.3389,4.3148,6.8777,7.6676,8.0000,7.4704,7.8527,2.4262,8.0000,8.0000
106,10.7,5.414690,6.985310,4.712389,1.058298,0.023830,7.8697,4.3705,7.4275,5.6971,5.2007,5.6187,7.4116,4.5021,6.8505,7.4396,8.0000,7.1475,7.8899,2.3658,8.0000,8.0000
107,10.8,5.414690,6.885310,4.712389,1.028055,-0.075078,7.8538,4.6120,7.3715,5.4936,5.3382,5.6508,7.6701,4.5000,6.7847,7.2349,8.0000,6.9897,7.8561,2.4678,8.0000,7.7245
108,10.9,5.414690,6.785310,4.712389,0.968224,-0.041437,8.0000,4.6206,7.5237,5.4658,5.1424,5.7317,7.3095,4.2691,6.5723,7.0490,8.0000,6.8618,7.8413,2.3459,8.0000,8.0000
109,11.0,5.414690,6.685310,4.712389,1.041663,0.005992,7.9420,4.6388,7.1925,5.5879,5.2514,5.7172,7.3372,4.6074,6.4924,6.9517,8.0000,6.2779,8.0000,2.1686,8.0000,8.0000
110,11.1,5.414690,6.585310,4.869469,1.010529,1.578537,4.3726,5.1601,6.6566,5.4245,5.1903,6.1671,4.1658,6.8204,6.6110,7.5411,7.9551,8.0000,7.9898,2.4129,7.8780,7.9138
111,11.2,5.430333,6.486541,5.026548,0.981796,1.609066,4.8413,8.0000,5.8903,5.3331,5.7259,6.9660,3.9103,6.2239,6.5508,7.9249,6.1073,8.0000,8.0000,7.9465,8.0000,7.9146
112,11.3,5.461235,6.391436,5.183628,0.975414,1.585062,5.1304,6.9924,5.3081,5.2822,5.8259,4.3989,6.5762,6.0416,6.7578,7.8999,6.9498,7.9811,2.5030,8.0000,7.8634,7.8199
113,11.4,5.506634,6.302335,5.340708,1.012623,1.552747,7.9897,6.1858,5.3577,5.6487,6.3377,3.5024,6.3142,6.4067,7.4794,6.3737,7.7999,8.0000,2.3751,8.0000,8.0000,4.8976
114,11.5,5.565412,6.221433,5.497787,1.024273,1.564901,7.7392,5.8747,5.3813,6.0110,4.3126,6.7131,5.8363,6.4444,7.9096,6.0842,7.9506,8.0000,7.8831,7.9906,8.0000,5.4138
115,11.6,5.636123,6.150723,5.654867,0.906073,1.589026,6.8326,5.5757,5.3898,6.4412,3.6351,6.1803,5.9842,7.2331,7.9086,7.9504,8.0000,2.6982,7.8621,8.0000,5.6042,5.7506
