# SYNTHETIC data — generated by scripts/make_synthetic.py for project 16.01
# regenerate: python make_synthetic.py --n 500 --seed 42
# a synthetic docking-under-current commanded-wrench trajectory, 10 Hz
# columns: t_s (s), Fx_N,Fy_N,Fz_N (N, body frame), Mx_Nm,My_Nm,Mz_Nm (N*m, body frame)
# body frame: x-forward, y-starboard, z-down (Fossen/SNAME marine convention)
t_s,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm
5.50,2.931072,-0.567015,1.975556,0.046249,0.232351,2.128603
5.60,2.382112,-0.092051,1.627972,0.233954,0.143827,1.470573
5.70,2.227287,-0.790066,1.474825,0.783117,0.303817,1.493677
5.80,2.893197,-0.657771,2.106022,0.444385,0.264773,1.300098
5.90,3.273872,-0.952783,2.065139,0.162462,-0.577282,1.588178
6.00,3.086901,-0.891176,1.685976,0.396680,-0.311526,1.697737
6.10,2.670515,-0.569125,1.058060,0.798546,-0.169112,1.806819
6.20,3.217119,-0.679848,1.396639,-0.069872,-0.053964,1.382559
6.30,2.849751,-0.574490,1.727676,0.147149,-0.419340,1.424482
6.40,2.999514,-1.198296,1.110178,0.253452,0.201542,1.655925
6.50,3.561109,-0.949255,1.258281,0.366649,-0.748377,1.226856
6.60,3.148568,-1.054930,1.585960,0.268953,-0.316339,1.113829
6.70,3.250695,-0.803163,1.700695,-0.041522,-0.683163,1.374645
6.80,3.466984,-1.437824,1.696010,0.524335,-0.104360,1.041812
6.90,3.086663,-1.816451,1.094855,0.232356,0.063660,0.846926
7.00,3.351671,-1.278128,1.016395,0.437231,-0.300341,0.973990
7.10,3.638450,-1.968477,1.544401,0.494238,-0.696480,1.110076
7.20,3.198175,-1.081253,1.282412,-0.242594,-0.561920,1.487243
7.30,3.512670,-1.302027,1.402601,0.677782,-0.223409,1.542013
7.40,3.974887,-1.554003,1.424427,0.177100,0.004279,1.092039
7.50,4.000593,-1.485159,1.149529,-0.086300,-0.586157,1.133187
7.60,3.881164,-1.768582,1.270887,-0.088927,-0.762691,0.731817
7.70,3.390478,-2.030109,1.153168,-0.243376,-0.615355,1.089846
7.80,3.819494,-2.344359,0.989097,0.142466,-0.436942,0.551821
7.90,3.517923,-1.561312,1.133675,0.276842,-0.001736,1.058997
8.00,3.452802,-2.516575,0.869080,0.316142,-0.010418,1.194614
8.10,3.455621,-1.829999,1.030817,0.147178,-0.648366,0.407794
8.20,3.425805,-2.602222,0.787828,0.204264,-0.469263,0.300055
8.30,3.399633,-2.556004,1.040630,-0.466751,-0.483866,0.645533
8.40,2.890300,-2.091888,0.520422,-0.050867,-0.831535,0.405911
8.50,2.994336,-2.457387,1.111987,-0.152269,-0.133366,0.803976
8.60,2.942852,-2.750478,0.335873,-0.010762,0.111356,0.266880
8.70,3.237030,-2.097830,0.933687,0.185338,0.058267,0.060815
8.80,2.492012,-2.771857,0.373318,0.081947,-0.329782,0.023664
8.90,3.044394,-2.200986,0.379786,0.001244,-0.147843,-0.135767
9.00,3.026255,-2.045249,0.284742,-0.598667,-0.585439,0.370849
9.10,3.016123,-2.653816,0.856064,-0.566513,-0.208017,0.264391
9.20,2.000132,-2.316879,0.955520,-0.060060,-0.778418,0.564530
9.30,2.510805,-2.779411,0.497568,-0.307635,-0.393960,-0.134610
9.40,2.397785,-2.339879,0.138490,0.265101,-0.264388,0.296319
9.50,2.066158,-2.760636,0.730318,0.252584,-0.629549,0.219290
9.60,1.698821,-2.744837,0.395492,0.001236,-0.630500,0.206355
9.70,1.784954,-3.172159,0.804780,-0.502500,-0.433057,-0.091360
9.80,1.119228,-3.258867,0.737183,-0.580747,-0.684123,0.039968
9.90,0.859751,-2.434231,0.550358,-0.502169,-0.884178,0.134232
10.00,0.378114,-2.619683,0.300573,-0.035728,-0.201417,-0.223643
10.10,0.551127,-2.570238,-0.132243,-0.587333,-0.197550,-0.618760
10.20,0.405216,-2.911515,0.268237,-0.398024,-0.140328,-0.649254
10.30,0.286284,-3.133641,-0.048754,-0.717011,-0.690224,-0.915187
10.40,-0.123632,-2.660316,-0.152551,-0.634940,-0.394777,-0.364426
10.50,0.072401,-2.913970,-0.092304,-0.763958,-0.680651,-0.915326
10.60,-0.970334,-3.438705,0.121187,-0.602814,0.104103,-0.642734
10.70,-0.697854,-3.338954,0.417837,-0.398352,0.007470,-0.674757
10.80,-1.170357,-3.035273,-0.303955,-0.849407,0.081116,-0.823221
10.90,-1.060173,-3.083662,-0.451935,-0.282321,-0.800681,-1.203242
11.00,-1.559106,-3.187277,0.430212,-0.803712,-0.083839,-0.796929
11.10,-1.567069,-3.270280,-0.078800,-0.481447,-0.399211,-0.593166
11.20,-1.598952,-3.193548,-0.017976,-0.331515,-0.095154,-0.555066
11.30,-2.606805,-3.288971,-0.016156,-0.792646,-0.654410,-1.476113
11.40,-3.031118,-3.048665,-0.120291,-0.666361,-0.589404,-0.891903
11.50,-2.542788,-3.042416,-0.064160,-0.040977,-0.025393,-1.020604
11.60,-2.788581,-2.558164,-0.363758,-0.426933,-0.157617,-0.783138
11.70,-2.818400,-3.413919,-0.660225,-0.669820,-0.048024,-1.167278
11.80,-3.542285,-3.352586,-0.174604,-0.282957,0.154258,-1.279959
11.90,-3.512930,-3.386227,-0.860426,-0.555235,-0.457249,-1.572986
12.00,-4.080618,-2.492615,-0.101192,-0.415945,0.180340,-0.865646
12.10,-3.653755,-3.171005,-0.933626,-0.238057,-0.290555,-1.254483
12.20,-3.552472,-3.243159,-0.425068,-0.362021,-0.259681,-1.854400
12.30,-4.251114,-3.073626,-0.376622,-0.140846,-0.411707,-1.290463
12.40,-4.429083,-2.442190,-0.269353,-0.449548,-0.276550,-1.706927
12.50,-4.499687,-2.395825,-0.714701,-0.485404,0.267107,-1.399875
12.60,-3.860726,-2.929577,-0.967030,-0.637865,0.046012,-1.585253
12.70,-2.193803,-3.114287,-0.640897,-0.070907,-0.261526,-1.898958
12.80,-0.377024,-2.317938,-0.616504,-0.757508,-0.530278,-2.660743
12.90,3.475165,-3.169353,-0.268120,-0.081396,-0.216036,-3.927111
13.00,8.087544,-2.733919,-0.578505,-0.482272,-0.392712,-4.248796
13.10,13.410125,-2.956570,-0.778292,-0.603677,0.267243,-5.804229
13.20,19.243403,-2.302575,-1.087463,-0.192685,-0.228019,-6.778218
13.30,25.471603,-2.310669,-1.114719,-0.678876,-0.044219,-8.262932
13.40,32.614393,-2.945578,-0.892505,-0.626371,-0.067305,-10.393088
13.50,40.188870,-2.733712,-1.275631,-0.267390,-0.035372,-12.476903
13.60,48.445573,-2.971545,-0.752432,-0.252393,0.216397,-14.169960
13.70,56.472749,-2.152558,-0.548820,-0.454374,-0.545741,-15.942156
13.80,64.612520,-2.060156,-0.687582,-0.500839,-0.044476,-17.889273
13.90,72.902968,-2.474895,-0.938749,-0.777600,-0.088534,-19.262375
14.00,80.493807,-2.145679,-0.975062,-0.070399,0.306777,-21.211752
14.10,88.201140,-2.473756,-0.937150,-0.152364,0.339323,-23.800062
14.20,95.126188,-2.109842,-0.765497,0.096642,0.226244,-25.064577
14.30,101.850046,-2.056427,-0.843984,-0.445553,0.186037,-26.129389
14.40,107.843714,-1.841819,-1.452900,-0.502285,-0.349829,-27.883547
14.50,113.667433,-1.791880,-1.605546,-0.785516,0.388002,-29.002877
14.60,117.820926,-1.616691,-1.661221,-0.390175,-0.216316,-30.382165
14.70,121.173119,-1.668726,-0.931474,-0.160056,-0.299802,-31.001775
14.80,124.142335,-1.828380,-1.221617,-0.399219,-0.195206,-31.182671
14.90,125.637883,-1.972641,-1.404736,-0.571724,0.139037,-31.806908
15.00,127.057199,-2.002312,-0.936895,-0.135663,-0.146052,-31.933244
15.10,126.351242,-1.491948,-1.892188,-0.172031,0.088470,-31.474313
15.20,124.535005,-1.375734,-1.360047,-0.410266,0.240544,-31.400583
15.30,122.515778,-1.390585,-1.333290,0.091973,0.244256,-30.530356
15.40,119.118483,-1.738482,-1.576477,-0.150216,0.360335,-30.534377
15.50,114.500467,-1.234858,-1.865950,-0.580730,0.179224,-28.634890
15.60,109.636872,-1.002839,-1.234860,-0.438717,0.476208,-27.913445
15.70,104.062109,-1.102860,-1.749803,-0.563036,0.625965,-26.869438
15.80,97.713978,-0.921520,-1.386924,0.319470,0.641734,-24.668163
15.90,90.051040,-0.922409,-2.119271,-0.105937,0.140470,-23.134177
16.00,82.853716,-1.059196,-1.332241,0.315947,-0.194933,-21.805180
16.10,74.380162,-0.689464,-1.614132,0.309252,-0.071069,-20.133160
16.20,67.154792,-0.593576,-1.893635,-0.179216,-0.142021,-17.361655
16.30,58.540612,-0.938970,-2.118316,0.318364,-0.135712,-15.949468
16.40,50.870106,-0.616497,-1.288608,-0.131054,0.481090,-14.357163
16.50,42.763538,-1.188115,-1.763693,-0.123279,0.700304,-12.630414
16.60,35.178510,-0.770756,-1.320319,0.342885,-0.142147,-10.200557
16.70,28.241765,-0.162848,-1.929406,-0.095577,-0.042232,-9.086489
16.80,21.977524,-0.612120,-1.641881,0.166827,0.374301,-7.635061
16.90,15.995628,-0.749057,-2.194655,0.108504,-0.145312,-5.488447
17.00,10.236520,-0.702152,-1.466165,-0.108774,-0.057728,-4.121354
17.10,5.676223,0.015089,-2.205802,-0.288689,0.053722,-3.805724
17.20,2.871254,-0.742533,-2.349602,0.389840,0.049050,-2.820784
17.30,-0.130791,-0.640742,-1.636055,0.144335,0.564527,-2.051320
17.40,-1.054100,-0.104608,-2.281361,0.140315,0.771706,-2.095094
17.50,-1.563228,0.324505,-1.880935,0.112551,0.797423,-1.922005
17.60,-1.873024,-0.065463,-1.727584,0.162590,0.749875,-1.870805
17.70,-2.279974,0.216593,-2.358615,-0.035094,0.479693,-1.356251
17.80,-2.046957,0.678230,-1.903671,0.160903,0.458143,-1.764617
17.90,-1.683743,0.611586,-1.792556,0.493154,0.579308,-1.606870
18.00,-1.948703,0.062314,-2.113095,0.194376,0.279856,-1.683849
18.10,-1.988916,0.573745,-2.085586,-0.090141,0.791890,-1.667820
18.20,-1.599329,0.076426,-2.370486,0.511993,0.685349,-1.133615
18.30,-1.859357,0.619036,-2.143870,-0.088982,0.231484,-0.978725
18.40,-1.708852,0.999443,-1.758219,0.772364,0.482230,-1.245586
18.50,-1.892416,0.417592,-1.827604,0.042957,-0.006406,-0.704147
18.60,-2.111150,1.040516,-1.914596,0.640227,0.733707,-0.526424
18.70,-1.665142,0.964050,-1.849646,-0.126920,0.820429,-0.622159
18.80,-2.216778,0.602921,-1.792587,0.169139,0.233576,-1.395403
18.90,-1.610154,1.060272,-2.096734,0.014845,0.528941,-1.320021
19.00,-1.724191,0.779902,-2.079208,0.226153,0.267449,-0.577570
19.10,-1.677637,1.202509,-2.414896,-0.050396,0.056041,-0.629177
19.20,-1.757981,0.976447,-1.838016,0.393831,0.341517,-0.921101
19.30,-1.647253,0.886830,-2.069432,0.202010,0.578407,-0.654332
19.40,-1.697584,0.886294,-2.102763,0.528088,-0.092339,-0.785731
19.50,-2.107826,1.045129,-2.240478,0.266276,-0.092638,-0.285852
19.60,-2.089134,1.354229,-1.789588,0.447183,0.732250,-0.171955
19.70,-2.129602,1.900983,-2.447511,-0.026205,0.818928,-0.060953
19.80,-1.553559,1.676843,-1.776161,0.380233,0.011416,-0.846775
19.90,-1.722753,1.967978,-1.862675,0.801393,0.814099,-0.723777
20.00,-1.111635,1.472131,-1.886367,0.499491,0.287793,-0.445659
20.10,-1.515494,1.622951,-2.300841,0.491497,0.003364,-0.189803
20.20,-0.838223,1.699194,-1.734630,0.804764,0.701300,-0.407148
20.30,-1.477118,1.605859,-1.851949,0.750143,0.538317,-0.409818
20.40,-0.720499,1.960267,-1.691547,0.753220,0.327881,0.393713
20.50,-0.789168,2.157770,-1.812424,0.860304,0.501986,-0.322937
20.60,-1.136440,2.019723,-2.124390,0.272740,-0.073636,0.089968
20.70,-0.736426,2.083160,-2.359901,0.831065,-0.058019,0.503341
20.80,-0.025046,2.298640,-1.898622,0.462672,0.414264,0.487258
20.90,0.190221,2.184372,-1.584096,0.651680,0.175817,0.227261
21.00,-0.372401,1.846106,-2.277960,0.898140,0.191720,0.521939
21.10,0.170859,2.004943,-2.120599,0.435234,0.281353,0.386117
21.20,0.021217,2.251915,-2.071666,0.404000,0.173610,0.516710
21.30,0.853807,2.571544,-2.274205,0.086788,0.506603,0.258091
21.40,0.995684,2.624448,-1.418679,0.861914,0.154243,0.611425
21.50,0.625277,2.359791,-1.341581,0.682772,0.205179,0.678045
21.60,1.637506,2.360052,-1.916211,0.770923,0.618436,0.806973
21.70,1.747067,2.828135,-1.590451,0.499942,0.443006,0.613606
21.80,1.500652,2.489212,-2.077948,0.181357,0.736086,0.729262
21.90,1.587332,2.299775,-2.162766,0.804544,-0.119289,1.066064
22.00,2.418239,3.079806,-2.183286,0.289178,0.536754,0.477800
22.10,2.181636,2.390581,-1.370179,0.715166,0.570099,0.563176
22.20,2.462946,2.669680,-1.505047,0.172622,0.195606,0.732732
22.30,2.991811,2.736495,-1.626688,0.234965,0.550134,0.966230
22.40,3.293127,2.682392,-1.192267,0.899738,0.193056,0.827599
22.50,3.050456,2.867217,-1.151245,0.721400,0.522272,0.732002
22.60,3.124098,3.004350,-1.220938,0.447685,-0.186979,1.486399
22.70,3.924838,2.669838,-1.308913,0.154013,0.604948,0.833846
22.80,3.703939,3.350971,-1.826408,0.319885,0.038241,0.758210
22.90,3.504912,2.924512,-1.788534,0.850293,0.052397,0.803785
23.00,4.559276,3.277783,-1.349676,0.633654,-0.196264,1.105516
23.10,4.625863,3.148925,-1.835636,0.533829,0.103227,0.865872
23.20,4.033126,2.721158,-1.113733,0.362650,0.370196,1.429288
23.30,4.212375,2.763843,-1.621298,-0.153298,0.050982,1.735192
23.40,4.694468,2.595228,-0.990550,0.380374,-0.364342,1.495293
23.50,4.603784,2.634690,-1.439210,0.382723,-0.152266,1.433926
23.60,5.138537,2.581581,-0.866060,-0.180509,0.121072,1.560914
23.70,5.562211,3.053081,-1.422050,0.205487,0.218431,2.069612
23.80,4.914266,2.516238,-0.995307,0.063360,0.303368,1.750546
23.90,5.505571,3.234356,-1.422175,-0.254211,0.104038,1.968217
24.00,4.969093,3.275590,-1.260492,0.379452,0.177300,1.997303
24.10,4.903350,3.268023,-1.237421,-0.040148,-0.423134,1.415024
24.20,4.914614,3.418700,-1.149278,0.637643,0.063553,1.497245
24.30,5.644643,2.668043,-1.276835,0.411262,0.373762,1.602840
24.40,5.020698,2.834689,-0.713067,0.355443,0.390036,1.683128
24.50,5.861158,2.950729,-1.073383,0.518001,0.002113,2.121763
24.60,5.592248,2.519443,-0.936425,0.397454,0.015767,1.664503
24.70,4.909737,3.085568,-1.199986,0.159050,-0.116106,2.054260
24.80,5.132803,2.449289,-0.603690,-0.109777,0.443455,1.658763
24.90,5.700335,3.335288,-1.365586,0.156358,-0.203804,2.203510
25.00,5.326674,3.318799,-1.264413,0.107573,0.201844,1.453898
25.10,4.629855,3.121340,-1.007107,-0.135991,-0.024498,2.039346
25.20,5.145997,3.266668,-0.967355,0.225421,-0.030005,1.977316
25.30,4.758842,2.940646,-1.055391,-0.442980,0.119667,1.958948
25.40,4.631881,2.824235,-1.008575,-0.314823,-0.181702,2.466751
25.50,4.405462,3.148774,-0.744226,-0.471053,0.213010,1.931335
25.60,4.885195,2.645412,-1.112449,0.069794,0.194003,1.806204
25.70,4.192977,2.231541,-0.622633,0.260911,0.188290,2.204162
25.80,4.625114,2.768919,-0.335437,-0.139765,-0.553102,1.697476
25.90,3.682923,2.884547,-1.066954,-0.112388,-0.316773,2.302705
26.00,3.936807,2.667438,-0.970917,-0.374772,0.302874,2.218863
26.10,3.747675,2.784357,-0.197489,-0.627703,0.264816,2.141682
26.20,3.505337,2.653414,-0.639825,0.159402,0.062061,2.136890
26.30,3.068129,2.896121,-0.515061,0.175360,-0.673212,1.617413
26.40,2.868262,2.049530,-0.588198,-0.042479,-0.392798,2.428719
26.50,3.438376,2.684317,-0.623288,-0.132856,-0.197941,1.605959
26.60,2.674431,2.323895,-0.334221,-0.614999,0.183109,1.626373
26.70,2.859263,2.461636,-0.194437,0.043578,-0.204341,2.287229
26.80,2.059379,1.735636,-0.120798,-0.237074,-0.126025,2.217197
26.90,2.280378,2.276953,-0.226795,-0.201129,-0.496406,2.393574
27.00,2.182556,2.389088,-0.002345,-0.544840,-0.721745,1.481975
27.10,1.978754,2.013771,-0.445748,-0.249108,-0.490485,2.124026
27.20,2.117244,2.334136,0.363221,-0.737990,-0.440578,1.949393
27.30,1.551010,1.882424,-0.307024,-0.633302,-0.722050,1.658523
27.40,1.470391,1.972711,-0.288542,-0.027837,-0.666591,1.674822
27.50,1.524264,1.610258,0.264007,-0.406243,-0.318672,1.823745
27.60,1.121877,1.259793,0.483815,-0.409853,0.126512,1.516270
27.70,1.039789,1.225134,0.071159,-0.043158,-0.192356,1.746412
27.80,1.104257,1.958685,0.044849,-0.052636,-0.125208,2.012963
27.90,0.821542,1.447996,0.221818,-0.749413,-0.305245,1.294520
28.00,0.855455,1.746743,-0.031182,0.036677,-0.183468,1.310306
28.10,1.229559,1.310230,0.521489,-0.621031,0.070043,1.915615
28.20,0.364553,1.358542,0.264084,-0.921861,-0.736544,1.461517
28.30,0.557997,1.238649,0.407587,-0.458043,-0.549920,1.708070
28.40,0.173185,1.703707,0.577859,-0.680027,-0.545446,1.888541
28.50,0.476996,1.352496,0.175423,-0.168543,-0.517018,1.698061
28.60,0.865878,1.157401,0.709346,-0.263310,-0.200508,1.013687
28.70,0.308997,1.470034,0.732308,-0.216120,-0.313710,1.670035
28.80,0.373152,0.602107,0.615082,-0.375495,-0.052584,1.056849
28.90,0.432012,0.391208,0.970743,-0.887580,-0.876832,1.182077
29.00,-0.129605,0.977637,0.469210,-0.224041,0.023125,1.699420
29.10,0.428042,0.276420,0.233011,-0.792500,-0.573582,1.445986
29.20,0.195982,0.454443,0.303995,-0.087836,-0.557146,1.094177
29.30,0.425308,0.787762,0.809783,-0.306055,-0.289844,0.887294
29.40,-0.113414,0.550713,0.426765,-0.025156,-0.602359,0.938218
29.50,-0.162582,0.623092,0.554113,-0.647254,0.034069,1.397885
29.60,-0.103642,-0.034809,0.948607,-0.613649,0.081265,1.373241
29.70,0.572299,0.572929,0.597076,-0.702297,-0.183624,0.852769
29.80,0.056209,-0.050415,0.820054,-0.783748,-0.357665,1.390166
29.90,0.306815,-0.244881,0.990705,-0.394183,-0.651871,1.076947
30.00,0.138472,0.180421,0.461261,-0.562227,-0.174669,0.456905
30.10,0.374267,-0.199052,0.882979,0.036426,-0.482430,1.239954
30.20,0.476567,1.180297,0.237681,0.307309,-0.565096,0.898738
30.30,0.498689,2.342468,0.103275,0.265308,-0.159691,1.136826
30.40,0.493823,4.603544,-0.306455,0.439232,0.040659,1.144086
30.50,-0.035957,7.700039,-1.170482,1.899622,0.051271,0.969897
30.60,-0.441231,11.118305,-3.108330,2.727993,-0.585630,1.028019
30.70,0.070668,14.922027,-3.563276,3.528268,-0.397229,0.177065
30.80,-0.387261,18.957209,-5.492373,3.981267,-0.673749,0.665820
30.90,0.257934,24.169316,-6.790493,5.049506,0.001857,0.770849
31.00,0.255108,29.310428,-9.186749,6.783999,-0.663501,-0.041276
31.10,-0.293871,34.565938,-10.848410,7.668238,-0.088175,0.716198
31.20,-0.368033,40.831387,-13.023041,9.467291,-0.142475,-0.231870
31.30,-0.611492,46.409600,-14.622511,10.744930,0.066895,0.353240
31.40,-0.485970,52.351757,-16.151273,11.998633,-0.206255,-0.187631
31.50,-0.738306,58.588416,-18.382526,13.787027,-0.397375,0.085958
31.60,-0.483811,65.174310,-20.529510,14.877845,-0.557786,0.234917
31.70,-0.172184,70.852228,-22.787793,16.825743,-0.718879,-0.012184
31.80,-1.082173,77.315657,-24.724937,18.125742,-0.638566,-0.304705
31.90,-0.730085,82.679562,-26.953708,19.520241,-0.688628,-0.178810
32.00,-0.555999,88.545538,-28.485945,20.715922,-0.712709,-0.283020
32.10,-0.679632,94.016373,-30.334299,22.321255,-0.015251,-0.223102
32.20,-1.570463,98.453146,-32.269286,23.654764,0.183176,-0.788169
32.30,-0.818229,102.516981,-33.380906,24.483110,0.024317,0.065655
32.40,-1.249055,106.794726,-34.091361,25.036396,0.138245,-0.061070
32.50,-1.668476,110.415440,-35.540161,26.009147,-0.067478,-0.674853
32.60,-2.020607,113.060104,-36.601656,26.881019,-0.487741,-1.073517
32.70,-2.336540,115.011935,-37.185946,27.240987,-0.167709,-0.307537
32.80,-2.276606,116.626428,-38.104934,28.031622,0.036368,-1.071454
32.90,-1.883496,117.624404,-37.921931,28.225745,-0.661838,-1.031073
33.00,-2.764267,117.511105,-38.180281,28.140620,-0.617460,-0.548879
33.10,-2.637701,117.328138,-38.432365,28.243111,-0.598181,-0.837159
33.20,-2.927365,116.873396,-37.572381,27.487848,-0.045044,-0.719485
33.30,-3.073697,114.681524,-37.601190,27.468721,-0.410114,-1.141766
33.40,-3.511399,113.026610,-36.097521,27.213779,0.006771,-1.064562
33.50,-3.254158,110.149582,-35.068891,26.327093,0.178634,-1.221732
33.60,-3.509454,105.857853,-34.478135,25.630835,-0.121493,-0.738997
33.70,-3.798761,102.417203,-32.716310,24.887664,-0.020375,-0.667553
33.80,-3.712783,97.357690,-31.784532,23.158677,0.076278,-0.759207
33.90,-3.589499,92.391695,-29.662147,22.025479,-0.289563,-1.052911
34.00,-3.995404,87.863651,-28.429776,21.386041,0.178741,-1.211902
34.10,-4.274911,82.223202,-26.407288,20.293842,-0.517726,-0.876746
34.20,-3.941660,75.568976,-23.774541,18.465631,-0.277929,-1.251607
34.30,-4.841304,70.263213,-22.188859,17.364483,-0.127302,-1.363378
34.40,-4.820503,63.371060,-20.150069,15.656363,-0.396790,-0.955611
34.50,-4.835334,57.643608,-17.648283,14.083595,-0.068907,-1.413159
34.60,-5.199018,50.645881,-16.202256,13.201150,0.108850,-1.595679
34.70,-5.373086,44.596342,-14.007203,11.668963,0.041524,-1.395014
34.80,-4.934969,38.428740,-11.535716,10.402858,0.196390,-1.594152
34.90,-5.534441,33.076226,-10.226718,8.804438,0.055431,-1.201707
35.00,-5.231418,27.302052,-8.465753,6.827716,0.426165,-1.205983
35.10,-5.163780,22.134053,-6.350858,6.422481,-0.176824,-1.475246
35.20,-5.868454,16.973122,-4.758317,5.073535,0.270681,-1.595796
35.30,-5.426813,12.494607,-3.640500,3.985282,-0.372141,-1.711429
35.40,-5.654248,9.013954,-2.309114,3.338244,0.302008,-1.461819
35.50,-5.024531,4.706885,-1.087069,1.889026,-0.168252,-1.767257
35.60,-5.110614,2.001744,0.165910,1.460541,0.057546,-1.753003
35.70,-4.913262,-0.302767,1.204562,1.422307,0.316808,-1.482625
35.80,-5.107723,-2.071097,1.442182,0.759419,-0.269421,-2.352762
35.90,-5.645959,-2.655825,1.824178,0.772836,0.251541,-1.524131
36.00,-5.658381,-2.962954,1.541537,0.133581,0.564838,-1.512911
36.10,-5.201223,-3.449405,1.571777,0.857547,0.606876,-1.853811
36.20,-5.553664,-2.570162,1.809648,0.902615,0.305238,-1.680389
36.30,-4.770908,-3.101700,1.569127,0.112153,-0.030903,-1.611771
36.40,-4.979141,-2.602643,1.820237,0.713230,-0.121228,-1.470165
36.50,-4.516913,-2.995654,2.458442,0.018585,0.185871,-1.630624
36.60,-4.761896,-2.722827,2.433883,0.368198,0.532053,-2.448755
36.70,-4.679798,-2.492743,1.963831,0.333243,0.709102,-2.054033
36.80,-4.113933,-2.816267,1.552424,0.601307,0.575210,-1.778685
