# SYNTHETIC data — 29.05 ultrasound point-scatterer phantom
# EDUCATIONAL/SYNTHETIC ONLY — no patient data, no diagnostic or therapeutic claim.
# generated by scripts/make_synthetic.py, seed=42
# regenerate: python make_synthetic.py --seed 42
# counts: 9 wire, 1400 inclusion, 18000 speckle (total 19409)
# columns: kind,x_m,z_m,amp_rel (kind: wire | inclusion | speckle; x_m/z_m in meters,
#          array/image frame per kernels.cuh; amp_rel: unitless relative reflectivity)
kind,x_m,z_m,amp_rel
inclusion,-0.00735529,0.01702710,1.4000
inclusion,-0.00730998,0.01584489,1.4000
inclusion,-0.00742882,0.01316156,1.4000
inclusion,-0.00382243,0.01535522,1.4000
inclusion,-0.00613664,0.01642310,1.4000
inclusion,-0.00446252,0.01345205,1.4000
inclusion,-0.00801535,0.01465526,1.4000
inclusion,-0.00638211,0.01483512,1.4000
inclusion,-0.00485462,0.01586682,1.4000
inclusion,-0.00648689,0.01419651,1.4000
inclusion,-0.00419164,0.01374328,1.4000
inclusion,-0.00754896,0.01474307,1.4000
inclusion,-0.00639059,0.01389273,1.4000
inclusion,-0.00725097,0.01711633,1.4000
inclusion,-0.00628435,0.01680675,1.4000
inclusion,-0.00574837,0.01275294,1.4000
inclusion,-0.00425652,0.01333156,1.4000
inclusion,-0.00607179,0.01356874,1.4000
inclusion,-0.00649480,0.01279318,1.4000
inclusion,-0.00717398,0.01642035,1.4000
inclusion,-0.00622496,0.01461504,1.4000
inclusion,-0.00572116,0.01609204,1.4000
inclusion,-0.00772602,0.01398354,1.4000
inclusion,-0.00365645,0.01539590,1.4000
inclusion,-0.00578902,0.01623988,1.4000
inclusion,-0.00821417,0.01542089,1.4000
inclusion,-0.00598575,0.01676360,1.4000
inclusion,-0.00552482,0.01587606,1.4000
inclusion,-0.00732398,0.01309943,1.4000
inclusion,-0.00404856,0.01373108,1.4000
inclusion,-0.00552740,0.01559691,1.4000
inclusion,-0.00640388,0.01541836,1.4000
inclusion,-0.00588609,0.01717353,1.4000
inclusion,-0.00747870,0.01608096,1.4000
inclusion,-0.00730657,0.01447893,1.4000
inclusion,-0.00514155,0.01399999,1.4000
inclusion,-0.00691911,0.01625932,1.4000
inclusion,-0.00813728,0.01479143,1.4000
inclusion,-0.00717400,0.01716630,1.4000
inclusion,-0.00665236,0.01328873,1.4000
inclusion,-0.00433128,0.01601770,1.4000
inclusion,-0.00544161,0.01743617,1.4000
inclusion,-0.00441448,0.01399689,1.4000
inclusion,-0.00518306,0.01719465,1.4000
inclusion,-0.00796482,0.01526612,1.4000
inclusion,-0.00713826,0.01552415,1.4000
inclusion,-0.00491194,0.01351799,1.4000
inclusion,-0.00532881,0.01381992,1.4000
inclusion,-0.00605734,0.01702668,1.4000
inclusion,-0.00638212,0.01388340,1.4000
inclusion,-0.00531443,0.01380978,1.4000
inclusion,-0.00479385,0.01525840,1.4000
inclusion,-0.00636157,0.01254835,1.4000
inclusion,-0.00398036,0.01522795,1.4000
inclusion,-0.00432702,0.01541255,1.4000
inclusion,-0.00695871,0.01699491,1.4000
inclusion,-0.00451939,0.01680351,1.4000
inclusion,-0.00400538,0.01355038,1.4000
inclusion,-0.00725235,0.01301397,1.4000
inclusion,-0.00459942,0.01692067,1.4000
inclusion,-0.00646811,0.01560331,1.4000
inclusion,-0.00444614,0.01690708,1.4000
inclusion,-0.00683907,0.01715408,1.4000
inclusion,-0.00448882,0.01682032,1.4000
inclusion,-0.00444625,0.01383403,1.4000
inclusion,-0.00456313,0.01304048,1.4000
inclusion,-0.00738783,0.01658293,1.4000
inclusion,-0.00619848,0.01402595,1.4000
inclusion,-0.00452327,0.01363798,1.4000
inclusion,-0.00685869,0.01682176,1.4000
inclusion,-0.00529259,0.01449839,1.4000
inclusion,-0.00359425,0.01518108,1.4000
inclusion,-0.00795799,0.01467282,1.4000
inclusion,-0.00485727,0.01406839,1.4000
inclusion,-0.00546896,0.01505712,1.4000
inclusion,-0.00657402,0.01538294,1.4000
inclusion,-0.00722639,0.01604393,1.4000
inclusion,-0.00580774,0.01609715,1.4000
inclusion,-0.00479025,0.01585314,1.4000
inclusion,-0.00667889,0.01284987,1.4000
inclusion,-0.00517881,0.01415100,1.4000
inclusion,-0.00693042,0.01674008,1.4000
inclusion,-0.00490123,0.01400161,1.4000
inclusion,-0.00695358,0.01454196,1.4000
inclusion,-0.00648800,0.01397828,1.4000
inclusion,-0.00786356,0.01460223,1.4000
inclusion,-0.00379818,0.01588659,1.4000
inclusion,-0.00398597,0.01557757,1.4000
inclusion,-0.00699525,0.01523969,1.4000
inclusion,-0.00635056,0.01539992,1.4000
inclusion,-0.00522647,0.01482494,1.4000
inclusion,-0.00628920,0.01356851,1.4000
inclusion,-0.00613407,0.01700590,1.4000
inclusion,-0.00451988,0.01334846,1.4000
inclusion,-0.00807602,0.01507726,1.4000
inclusion,-0.00533530,0.01417594,1.4000
inclusion,-0.00440788,0.01625569,1.4000
inclusion,-0.00513602,0.01362320,1.4000
inclusion,-0.00727579,0.01487568,1.4000
inclusion,-0.00642779,0.01564883,1.4000
inclusion,-0.00752782,0.01598177,1.4000
inclusion,-0.00602811,0.01371992,1.4000
inclusion,-0.00474518,0.01635023,1.4000
inclusion,-0.00796706,0.01462573,1.4000
inclusion,-0.00591021,0.01275109,1.4000
inclusion,-0.00725401,0.01674168,1.4000
inclusion,-0.00621769,0.01650708,1.4000
inclusion,-0.00552274,0.01725020,1.4000
inclusion,-0.00404287,0.01556326,1.4000
inclusion,-0.00490363,0.01502389,1.4000
inclusion,-0.00434715,0.01523936,1.4000
inclusion,-0.00401396,0.01621828,1.4000
inclusion,-0.00612663,0.01379596,1.4000
inclusion,-0.00726380,0.01568831,1.4000
inclusion,-0.00467093,0.01510650,1.4000
inclusion,-0.00536626,0.01387299,1.4000
inclusion,-0.00811258,0.01392864,1.4000
inclusion,-0.00714142,0.01409855,1.4000
inclusion,-0.00579924,0.01319187,1.4000
inclusion,-0.00734369,0.01596975,1.4000
inclusion,-0.00496790,0.01282114,1.4000
inclusion,-0.00646200,0.01521306,1.4000
inclusion,-0.00642113,0.01353417,1.4000
inclusion,-0.00639928,0.01702419,1.4000
inclusion,-0.00557960,0.01597761,1.4000
inclusion,-0.00421634,0.01632797,1.4000
inclusion,-0.00674121,0.01626738,1.4000
inclusion,-0.00640489,0.01623758,1.4000
inclusion,-0.00576934,0.01551626,1.4000
inclusion,-0.00739731,0.01359711,1.4000
inclusion,-0.00632082,0.01264512,1.4000
inclusion,-0.00681935,0.01589571,1.4000
inclusion,-0.00647842,0.01332522,1.4000
inclusion,-0.00616305,0.01313814,1.4000
inclusion,-0.00538872,0.01263483,1.4000
inclusion,-0.00652990,0.01532196,1.4000
inclusion,-0.00836449,0.01571375,1.4000
inclusion,-0.00782150,0.01480849,1.4000
inclusion,-0.00824858,0.01439552,1.4000
inclusion,-0.00744170,0.01413423,1.4000
inclusion,-0.00469385,0.01439563,1.4000
inclusion,-0.00473995,0.01665962,1.4000
inclusion,-0.00723864,0.01290953,1.4000
inclusion,-0.00840308,0.01519710,1.4000
inclusion,-0.00524928,0.01640617,1.4000
inclusion,-0.00524123,0.01627117,1.4000
inclusion,-0.00786890,0.01584729,1.4000
inclusion,-0.00568015,0.01358982,1.4000
inclusion,-0.00500268,0.01633449,1.4000
inclusion,-0.00766105,0.01553624,1.4000
inclusion,-0.00476037,0.01307266,1.4000
inclusion,-0.00694021,0.01588674,1.4000
inclusion,-0.00370914,0.01448327,1.4000
inclusion,-0.00492493,0.01287998,1.4000
inclusion,-0.00504693,0.01563621,1.4000
inclusion,-0.00799049,0.01636240,1.4000
inclusion,-0.00424853,0.01550206,1.4000
inclusion,-0.00458682,0.01423602,1.4000
inclusion,-0.00635811,0.01435285,1.4000
inclusion,-0.00597020,0.01420616,1.4000
inclusion,-0.00425212,0.01661165,1.4000
inclusion,-0.00532207,0.01664354,1.4000
inclusion,-0.00496346,0.01467744,1.4000
inclusion,-0.00714959,0.01654100,1.4000
inclusion,-0.00580914,0.01491749,1.4000
inclusion,-0.00632213,0.01615513,1.4000
inclusion,-0.00715802,0.01675857,1.4000
inclusion,-0.00409184,0.01371932,1.4000
inclusion,-0.00617646,0.01555166,1.4000
inclusion,-0.00660505,0.01264350,1.4000
inclusion,-0.00424524,0.01340920,1.4000
inclusion,-0.00743940,0.01648916,1.4000
inclusion,-0.00679831,0.01690160,1.4000
inclusion,-0.00499408,0.01388134,1.4000
inclusion,-0.00807194,0.01610037,1.4000
inclusion,-0.00605711,0.01629082,1.4000
inclusion,-0.00504695,0.01572951,1.4000
inclusion,-0.00604589,0.01646466,1.4000
inclusion,-0.00803473,0.01360798,1.4000
inclusion,-0.00504106,0.01403103,1.4000
inclusion,-0.00559222,0.01486630,1.4000
inclusion,-0.00584539,0.01462752,1.4000
inclusion,-0.00477032,0.01415396,1.4000
inclusion,-0.00498573,0.01385458,1.4000
inclusion,-0.00724298,0.01310328,1.4000
inclusion,-0.00753708,0.01309777,1.4000
inclusion,-0.00582068,0.01631095,1.4000
inclusion,-0.00757425,0.01358192,1.4000
inclusion,-0.00607901,0.01612293,1.4000
inclusion,-0.00361696,0.01512318,1.4000
inclusion,-0.00708501,0.01300263,1.4000
inclusion,-0.00752941,0.01363742,1.4000
inclusion,-0.00582932,0.01387156,1.4000
inclusion,-0.00362853,0.01526679,1.4000
inclusion,-0.00501291,0.01313140,1.4000
inclusion,-0.00415769,0.01495439,1.4000
inclusion,-0.00413640,0.01537032,1.4000
inclusion,-0.00615302,0.01470234,1.4000
inclusion,-0.00379468,0.01488865,1.4000
inclusion,-0.00438942,0.01450354,1.4000
inclusion,-0.00812959,0.01564723,1.4000
inclusion,-0.00568580,0.01401918,1.4000
inclusion,-0.00467778,0.01553159,1.4000
inclusion,-0.00454630,0.01362844,1.4000
inclusion,-0.00588714,0.01475257,1.4000
inclusion,-0.00628639,0.01680083,1.4000
inclusion,-0.00539486,0.01554815,1.4000
inclusion,-0.00746106,0.01355513,1.4000
inclusion,-0.00519786,0.01328529,1.4000
inclusion,-0.00848662,0.01475252,1.4000
inclusion,-0.00553094,0.01395630,1.4000
inclusion,-0.00734262,0.01603478,1.4000
inclusion,-0.00498506,0.01477016,1.4000
inclusion,-0.00506308,0.01711956,1.4000
inclusion,-0.00456086,0.01562529,1.4000
inclusion,-0.00519408,0.01716834,1.4000
inclusion,-0.00637431,0.01522281,1.4000
inclusion,-0.00526183,0.01704206,1.4000
inclusion,-0.00767039,0.01403806,1.4000
inclusion,-0.00475521,0.01534604,1.4000
inclusion,-0.00705695,0.01312177,1.4000
inclusion,-0.00505661,0.01599867,1.4000
inclusion,-0.00378662,0.01500236,1.4000
inclusion,-0.00603102,0.01290221,1.4000
inclusion,-0.00830070,0.01466014,1.4000
inclusion,-0.00688839,0.01375184,1.4000
inclusion,-0.00432021,0.01537600,1.4000
inclusion,-0.00513859,0.01384756,1.4000
inclusion,-0.00614750,0.01575755,1.4000
inclusion,-0.00557335,0.01567392,1.4000
inclusion,-0.00604137,0.01295621,1.4000
inclusion,-0.00676019,0.01416654,1.4000
inclusion,-0.00514933,0.01678867,1.4000
inclusion,-0.00685098,0.01596837,1.4000
inclusion,-0.00705891,0.01722597,1.4000
inclusion,-0.00443217,0.01525048,1.4000
inclusion,-0.00622587,0.01407259,1.4000
inclusion,-0.00647912,0.01507298,1.4000
inclusion,-0.00578703,0.01456624,1.4000
inclusion,-0.00756209,0.01430890,1.4000
inclusion,-0.00471778,0.01562704,1.4000
inclusion,-0.00470005,0.01351779,1.4000
inclusion,-0.00575390,0.01713836,1.4000
inclusion,-0.00630942,0.01599125,1.4000
inclusion,-0.00545564,0.01369649,1.4000
inclusion,-0.00770811,0.01525420,1.4000
inclusion,-0.00573874,0.01296605,1.4000
inclusion,-0.00619276,0.01308733,1.4000
inclusion,-0.00433928,0.01499188,1.4000
inclusion,-0.00491698,0.01504436,1.4000
inclusion,-0.00713288,0.01667362,1.4000
inclusion,-0.00574367,0.01441793,1.4000
inclusion,-0.00389066,0.01504120,1.4000
inclusion,-0.00711876,0.01645003,1.4000
inclusion,-0.00642529,0.01717124,1.4000
inclusion,-0.00596131,0.01660275,1.4000
inclusion,-0.00708581,0.01399278,1.4000
inclusion,-0.00605180,0.01324298,1.4000
inclusion,-0.00580710,0.01422562,1.4000
inclusion,-0.00574041,0.01521715,1.4000
inclusion,-0.00622328,0.01410889,1.4000
inclusion,-0.00755674,0.01598749,1.4000
inclusion,-0.00564101,0.01366781,1.4000
inclusion,-0.00477647,0.01602614,1.4000
inclusion,-0.00444296,0.01443039,1.4000
inclusion,-0.00518156,0.01660374,1.4000
inclusion,-0.00359591,0.01497664,1.4000
inclusion,-0.00831490,0.01501146,1.4000
inclusion,-0.00554910,0.01684850,1.4000
inclusion,-0.00412905,0.01470153,1.4000
inclusion,-0.00587024,0.01478464,1.4000
inclusion,-0.00488778,0.01454989,1.4000
inclusion,-0.00522609,0.01327181,1.4000
inclusion,-0.00615255,0.01734602,1.4000
inclusion,-0.00680719,0.01596352,1.4000
inclusion,-0.00525082,0.01675883,1.4000
inclusion,-0.00659995,0.01408331,1.4000
inclusion,-0.00490641,0.01629701,1.4000
inclusion,-0.00815790,0.01565581,1.4000
inclusion,-0.00476617,0.01466986,1.4000
inclusion,-0.00800778,0.01566874,1.4000
inclusion,-0.00413710,0.01471839,1.4000
inclusion,-0.00502999,0.01701712,1.4000
inclusion,-0.00703316,0.01437421,1.4000
inclusion,-0.00777215,0.01515583,1.4000
inclusion,-0.00567036,0.01646260,1.4000
inclusion,-0.00414580,0.01559855,1.4000
inclusion,-0.00729585,0.01706415,1.4000
inclusion,-0.00778441,0.01480575,1.4000
inclusion,-0.00723011,0.01377663,1.4000
inclusion,-0.00399395,0.01588805,1.4000
inclusion,-0.00771012,0.01470865,1.4000
inclusion,-0.00677217,0.01543786,1.4000
inclusion,-0.00530531,0.01462154,1.4000
inclusion,-0.00724951,0.01672652,1.4000
inclusion,-0.00750392,0.01442347,1.4000
inclusion,-0.00608396,0.01368603,1.4000
inclusion,-0.00564039,0.01537406,1.4000
inclusion,-0.00712760,0.01532965,1.4000
inclusion,-0.00507100,0.01622334,1.4000
inclusion,-0.00825478,0.01553203,1.4000
inclusion,-0.00601636,0.01702078,1.4000
inclusion,-0.00706903,0.01649430,1.4000
inclusion,-0.00546468,0.01426160,1.4000
inclusion,-0.00531691,0.01560446,1.4000
inclusion,-0.00511118,0.01610464,1.4000
inclusion,-0.00520409,0.01669169,1.4000
inclusion,-0.00535876,0.01701702,1.4000
inclusion,-0.00526830,0.01404466,1.4000
inclusion,-0.00629588,0.01539787,1.4000
inclusion,-0.00483820,0.01295067,1.4000
inclusion,-0.00702445,0.01623740,1.4000
inclusion,-0.00762180,0.01316080,1.4000
inclusion,-0.00580296,0.01735745,1.4000
inclusion,-0.00584574,0.01706743,1.4000
inclusion,-0.00434764,0.01378485,1.4000
inclusion,-0.00437655,0.01490924,1.4000
inclusion,-0.00446756,0.01623280,1.4000
inclusion,-0.00680642,0.01307585,1.4000
inclusion,-0.00667112,0.01645341,1.4000
inclusion,-0.00843041,0.01518286,1.4000
inclusion,-0.00622607,0.01586414,1.4000
inclusion,-0.00513830,0.01542280,1.4000
inclusion,-0.00795827,0.01366911,1.4000
inclusion,-0.00569296,0.01707628,1.4000
inclusion,-0.00698905,0.01454148,1.4000
inclusion,-0.00697818,0.01496312,1.4000
inclusion,-0.00782168,0.01476822,1.4000
inclusion,-0.00514757,0.01621570,1.4000
inclusion,-0.00377013,0.01459563,1.4000
inclusion,-0.00478865,0.01327261,1.4000
inclusion,-0.00642558,0.01299511,1.4000
inclusion,-0.00605326,0.01454058,1.4000
inclusion,-0.00664735,0.01471692,1.4000
inclusion,-0.00800323,0.01592840,1.4000
inclusion,-0.00577767,0.01738921,1.4000
inclusion,-0.00670663,0.01449070,1.4000
inclusion,-0.00755096,0.01311080,1.4000
inclusion,-0.00425983,0.01477359,1.4000
inclusion,-0.00518616,0.01570852,1.4000
inclusion,-0.00551427,0.01260679,1.4000
inclusion,-0.00456603,0.01371784,1.4000
inclusion,-0.00787038,0.01532289,1.4000
inclusion,-0.00746421,0.01357976,1.4000
inclusion,-0.00415152,0.01414280,1.4000
inclusion,-0.00724673,0.01337249,1.4000
inclusion,-0.00731034,0.01411886,1.4000
inclusion,-0.00479141,0.01513043,1.4000
inclusion,-0.00477167,0.01488123,1.4000
inclusion,-0.00460991,0.01506619,1.4000
inclusion,-0.00795473,0.01501919,1.4000
inclusion,-0.00458387,0.01683490,1.4000
inclusion,-0.00589274,0.01479021,1.4000
inclusion,-0.00610509,0.01450809,1.4000
inclusion,-0.00506951,0.01495134,1.4000
inclusion,-0.00809605,0.01554149,1.4000
inclusion,-0.00817159,0.01387508,1.4000
inclusion,-0.00533462,0.01524178,1.4000
inclusion,-0.00584722,0.01476858,1.4000
inclusion,-0.00547287,0.01299589,1.4000
inclusion,-0.00499110,0.01676396,1.4000
inclusion,-0.00524542,0.01634481,1.4000
inclusion,-0.00489580,0.01357512,1.4000
inclusion,-0.00624223,0.01364247,1.4000
inclusion,-0.00680534,0.01476749,1.4000
inclusion,-0.00642005,0.01297543,1.4000
inclusion,-0.00636618,0.01582554,1.4000
inclusion,-0.00662849,0.01326319,1.4000
inclusion,-0.00801718,0.01619398,1.4000
inclusion,-0.00444115,0.01528185,1.4000
inclusion,-0.00556767,0.01530793,1.4000
inclusion,-0.00685177,0.01311116,1.4000
inclusion,-0.00673201,0.01582670,1.4000
inclusion,-0.00474858,0.01684046,1.4000
inclusion,-0.00549795,0.01425823,1.4000
inclusion,-0.00561041,0.01356369,1.4000
inclusion,-0.00521632,0.01362122,1.4000
inclusion,-0.00666219,0.01631303,1.4000
inclusion,-0.00562950,0.01653611,1.4000
inclusion,-0.00440787,0.01556787,1.4000
inclusion,-0.00528650,0.01263127,1.4000
inclusion,-0.00716276,0.01340208,1.4000
inclusion,-0.00498651,0.01404492,1.4000
inclusion,-0.00415069,0.01533161,1.4000
inclusion,-0.00649608,0.01320937,1.4000
inclusion,-0.00533414,0.01265329,1.4000
inclusion,-0.00476944,0.01357566,1.4000
inclusion,-0.00640084,0.01420448,1.4000
inclusion,-0.00664973,0.01610798,1.4000
inclusion,-0.00461582,0.01533797,1.4000
inclusion,-0.00771295,0.01558919,1.4000
inclusion,-0.00513016,0.01386051,1.4000
inclusion,-0.00519031,0.01492831,1.4000
inclusion,-0.00628978,0.01386583,1.4000
inclusion,-0.00472528,0.01306909,1.4000
inclusion,-0.00635043,0.01391623,1.4000
inclusion,-0.00510757,0.01493316,1.4000
inclusion,-0.00516434,0.01272709,1.4000
inclusion,-0.00652368,0.01549662,1.4000
inclusion,-0.00744383,0.01318617,1.4000
inclusion,-0.00722240,0.01414061,1.4000
inclusion,-0.00762153,0.01440104,1.4000
inclusion,-0.00498164,0.01500131,1.4000
inclusion,-0.00433323,0.01653100,1.4000
inclusion,-0.00562120,0.01536700,1.4000
inclusion,-0.00495251,0.01458847,1.4000
inclusion,-0.00687616,0.01650661,1.4000
inclusion,-0.00540937,0.01666013,1.4000
inclusion,-0.00427758,0.01371658,1.4000
inclusion,-0.00555564,0.01511981,1.4000
inclusion,-0.00652117,0.01405137,1.4000
inclusion,-0.00680243,0.01416534,1.4000
inclusion,-0.00765934,0.01505242,1.4000
inclusion,-0.00792987,0.01504976,1.4000
inclusion,-0.00397039,0.01424688,1.4000
inclusion,-0.00486310,0.01659474,1.4000
inclusion,-0.00442481,0.01368134,1.4000
inclusion,-0.00776778,0.01348636,1.4000
inclusion,-0.00548801,0.01630108,1.4000
inclusion,-0.00522245,0.01338573,1.4000
inclusion,-0.00463576,0.01497059,1.4000
inclusion,-0.00472777,0.01629939,1.4000
inclusion,-0.00625547,0.01712077,1.4000
inclusion,-0.00567754,0.01567649,1.4000
inclusion,-0.00537739,0.01682123,1.4000
inclusion,-0.00536391,0.01325479,1.4000
inclusion,-0.00815857,0.01471104,1.4000
inclusion,-0.00698590,0.01387337,1.4000
inclusion,-0.00821914,0.01503668,1.4000
inclusion,-0.00694796,0.01475957,1.4000
inclusion,-0.00422353,0.01557504,1.4000
inclusion,-0.00596466,0.01481356,1.4000
inclusion,-0.00572842,0.01645909,1.4000
inclusion,-0.00402062,0.01474867,1.4000
inclusion,-0.00445092,0.01575919,1.4000
inclusion,-0.00689237,0.01487815,1.4000
inclusion,-0.00678281,0.01607158,1.4000
inclusion,-0.00597725,0.01336279,1.4000
inclusion,-0.00726128,0.01468879,1.4000
inclusion,-0.00630289,0.01511374,1.4000
inclusion,-0.00770627,0.01436426,1.4000
inclusion,-0.00708553,0.01454385,1.4000
inclusion,-0.00680816,0.01548943,1.4000
inclusion,-0.00455387,0.01573653,1.4000
inclusion,-0.00510810,0.01392073,1.4000
inclusion,-0.00488133,0.01578282,1.4000
inclusion,-0.00683319,0.01541370,1.4000
inclusion,-0.00779286,0.01424910,1.4000
inclusion,-0.00654021,0.01547521,1.4000
inclusion,-0.00380999,0.01404791,1.4000
inclusion,-0.00661660,0.01645831,1.4000
inclusion,-0.00443408,0.01585058,1.4000
inclusion,-0.00435521,0.01619387,1.4000
inclusion,-0.00507293,0.01513197,1.4000
inclusion,-0.00526988,0.01461703,1.4000
inclusion,-0.00669086,0.01431299,1.4000
inclusion,-0.00759869,0.01357096,1.4000
inclusion,-0.00376166,0.01493135,1.4000
inclusion,-0.00736728,0.01318783,1.4000
inclusion,-0.00799430,0.01635437,1.4000
inclusion,-0.00831126,0.01418382,1.4000
inclusion,-0.00466846,0.01315525,1.4000
inclusion,-0.00661640,0.01331124,1.4000
inclusion,-0.00434327,0.01635549,1.4000
inclusion,-0.00445478,0.01332770,1.4000
inclusion,-0.00631163,0.01455429,1.4000
inclusion,-0.00511819,0.01368765,1.4000
inclusion,-0.00627901,0.01392464,1.4000
inclusion,-0.00475732,0.01474464,1.4000
inclusion,-0.00582994,0.01404734,1.4000
inclusion,-0.00445688,0.01484508,1.4000
inclusion,-0.00432443,0.01433920,1.4000
inclusion,-0.00619160,0.01390886,1.4000
inclusion,-0.00659064,0.01513730,1.4000
inclusion,-0.00449370,0.01319199,1.4000
inclusion,-0.00724998,0.01570590,1.4000
inclusion,-0.00412942,0.01527270,1.4000
inclusion,-0.00424417,0.01392532,1.4000
inclusion,-0.00468442,0.01386396,1.4000
inclusion,-0.00631264,0.01723207,1.4000
inclusion,-0.00738981,0.01475564,1.4000
inclusion,-0.00675207,0.01263335,1.4000
inclusion,-0.00823372,0.01501004,1.4000
inclusion,-0.00662544,0.01264094,1.4000
inclusion,-0.00525020,0.01645690,1.4000
inclusion,-0.00781200,0.01393440,1.4000
inclusion,-0.00435119,0.01598036,1.4000
inclusion,-0.00780604,0.01602768,1.4000
inclusion,-0.00625699,0.01252626,1.4000
inclusion,-0.00810387,0.01377962,1.4000
inclusion,-0.00432518,0.01524402,1.4000
inclusion,-0.00486383,0.01513886,1.4000
inclusion,-0.00794407,0.01394051,1.4000
inclusion,-0.00699424,0.01273875,1.4000
inclusion,-0.00640087,0.01646950,1.4000
inclusion,-0.00621443,0.01305429,1.4000
inclusion,-0.00397427,0.01548370,1.4000
inclusion,-0.00841782,0.01507688,1.4000
inclusion,-0.00729031,0.01321788,1.4000
inclusion,-0.00635381,0.01557405,1.4000
inclusion,-0.00729718,0.01458284,1.4000
inclusion,-0.00517814,0.01292807,1.4000
inclusion,-0.00586970,0.01503664,1.4000
inclusion,-0.00355834,0.01527076,1.4000
inclusion,-0.00654773,0.01485068,1.4000
inclusion,-0.00532165,0.01740520,1.4000
inclusion,-0.00455740,0.01422401,1.4000
inclusion,-0.00483529,0.01564128,1.4000
inclusion,-0.00464249,0.01617593,1.4000
inclusion,-0.00683741,0.01272168,1.4000
inclusion,-0.00576993,0.01656754,1.4000
inclusion,-0.00762455,0.01639571,1.4000
inclusion,-0.00617689,0.01597695,1.4000
inclusion,-0.00534132,0.01655749,1.4000
