# SYNTHETIC data -- generated by scripts/make_synthetic.py for project 02.11
# regenerate: python make_synthetic.py --seed 42
# columns: idx,x_m,y_m,heading_rad,seg_index,from_id,to_id,offset_m,is_anchor(0/1)
idx,x_m,y_m,heading_rad,seg_index,from_id,to_id,offset_m,is_anchor
103,32.5000,50.0000,3.141593,20,10,9,0.000,0
104,27.5000,50.0000,3.141593,20,10,9,0.000,0
105,22.5000,50.0000,3.141593,21,9,8,0.000,0
106,17.5000,50.0000,3.141593,21,9,8,0.000,0
107,12.5000,50.0000,3.141593,21,9,8,0.000,1
108,7.5000,50.0000,3.141593,21,9,8,0.000,0
109,2.5000,50.0000,3.141593,21,9,8,0.000,0
110,0.0000,47.5000,-1.570796,22,8,4,0.000,0
111,0.0000,42.5000,-1.570796,22,8,4,0.000,0
112,0.0000,37.5000,-1.570796,22,8,4,0.000,1
113,0.0000,32.5000,-1.570796,22,8,4,0.000,0
114,0.0000,27.5000,-1.570796,22,8,4,0.000,0
115,0.0000,22.5000,-1.570796,23,4,0,0.000,0
116,0.0000,17.5000,-1.570796,23,4,0,0.000,0
117,0.0000,12.5000,-1.570796,23,4,0,0.000,1
118,0.0000,7.5000,-1.570796,23,4,0,0.000,0
119,0.0000,2.5000,-1.570796,23,4,0,0.000,0
120,2.5000,0.0000,0.000000,24,0,1,0.000,0
121,7.5000,0.0000,0.000000,24,0,1,0.000,0
122,12.5000,0.0000,0.000000,24,0,1,0.000,1
123,17.5000,0.0000,0.000000,24,0,1,0.000,0
124,22.5000,0.0000,0.000000,24,0,1,0.000,0
125,27.5000,0.0000,0.000000,25,1,2,0.000,0
126,32.5000,0.0000,0.000000,25,1,2,0.000,0
127,37.5000,0.0000,0.000000,25,1,2,0.000,1
128,42.5000,0.0000,0.000000,25,1,2,0.000,0
129,47.5000,0.0000,0.000000,25,1,2,0.000,0
130,27.5000,1.3000,0.000000,26,1,2,1.300,0
131,32.5000,1.3000,0.000000,26,1,2,1.300,0
132,37.5000,1.3000,0.000000,26,1,2,1.300,1
133,42.5000,1.3000,0.000000,26,1,2,1.300,0
134,47.5000,1.3000,0.000000,26,1,2,1.300,0
135,2.5000,2.6000,0.000000,27,0,1,2.600,0
136,7.5000,2.6000,0.000000,27,0,1,2.600,0
137,12.5000,2.6000,0.000000,27,0,1,2.600,1
138,17.5000,2.6000,0.000000,27,0,1,2.600,0
139,22.5000,2.6000,0.000000,27,0,1,2.600,0
140,2.5000,25.6000,0.000000,28,4,5,0.600,0
141,7.5000,25.6000,0.000000,28,4,5,0.600,0
142,12.5000,25.6000,0.000000,28,4,5,0.600,1
143,17.5000,25.6000,0.000000,28,4,5,0.600,0
144,22.5000,25.6000,0.000000,28,4,5,0.600,0
145,25.0000,2.5000,1.570796,29,1,5,0.000,0
146,25.0000,7.5000,1.570796,29,1,5,0.000,0
147,25.0000,12.5000,1.570796,29,1,5,0.000,1
148,25.0000,17.5000,1.570796,29,1,5,0.000,0
149,25.0000,22.5000,1.570796,29,1,5,0.000,0
150,25.0000,27.5000,1.570796,30,5,9,0.000,0
151,25.0000,32.5000,1.570796,30,5,9,0.000,0
152,25.0000,37.5000,1.570796,30,5,9,0.000,1
153,25.0000,42.5000,1.570796,30,5,9,0.000,0
154,25.0000,47.5000,1.570796,30,5,9,0.000,0
155,50.0000,2.5000,1.570796,31,2,6,0.000,0
156,50.0000,7.5000,1.570796,31,2,6,0.000,0
157,50.0000,12.5000,1.570796,31,2,6,0.000,1
158,50.0000,17.5000,1.570796,31,2,6,0.000,0
159,50.0000,22.5000,1.570796,31,2,6,0.000,0
