# SYNTHETIC LiDAR returns for project 02.17 -- LIDAR-FRAME meters (x,y,z)
# true_r/g/b: exact flat surface color the ray hit, [0,255] -- EVALUATION-ONLY ground truth
# visible: 1 if unobstructed from the CAMERA's own origin, 0 if occluded -- EVALUATION-ONLY
# surface: human-readable object name -- EVALUATION-ONLY
# regenerate: python make_synthetic.py --seed 42
# 3368 points, 138 ground-truth-occluded (the occlusion cohort), range noise sigma=0.02 m
x,y,z,true_r,true_g,true_b,visible,surface
4.942759,0.116011,-1.799512,100.0,100.0,100.0,1,ground
4.939961,0.162352,-1.798969,100.0,100.0,100.0,1,ground
4.942084,0.208877,-1.800377,100.0,100.0,100.0,1,ground
4.951203,0.255841,-1.804495,100.0,100.0,100.0,1,ground
4.934191,0.301425,-1.799247,100.0,100.0,100.0,1,ground
4.962609,0.349945,-1.810727,100.0,100.0,100.0,1,ground
4.909552,0.392549,-1.792634,100.0,100.0,100.0,1,ground
4.949604,0.442545,-1.808695,100.0,100.0,100.0,1,ground
4.882567,0.482789,-1.785776,100.0,100.0,100.0,1,ground
4.888344,0.529738,-1.789628,100.0,100.0,100.0,1,ground
4.934052,0.581599,-1.808281,100.0,100.0,100.0,1,ground
4.875845,0.621194,-1.789007,100.0,100.0,100.0,1,ground
4.883412,0.668798,-1.794008,100.0,100.0,100.0,1,ground
4.915105,0.720202,-1.808055,100.0,100.0,100.0,1,ground
4.888570,0.763253,-1.800850,100.0,100.0,100.0,1,ground
4.909543,0.813805,-1.811310,100.0,100.0,100.0,1,ground
4.878337,0.855757,-1.802682,100.0,100.0,100.0,1,ground
4.864640,0.900501,-1.800664,100.0,100.0,100.0,1,ground
4.820039,0.939122,-1.787339,100.0,100.0,100.0,1,ground
4.845852,0.991452,-1.800283,100.0,100.0,100.0,1,ground
4.849320,1.039679,-1.805118,100.0,100.0,100.0,1,ground
4.841890,1.085721,-1.806066,100.0,100.0,100.0,1,ground
4.826661,1.129992,-1.804262,100.0,100.0,100.0,1,ground
4.780972,1.166738,-1.791199,100.0,100.0,100.0,1,ground
4.799776,1.219175,-1.802452,100.0,100.0,100.0,1,ground
4.767233,1.258660,-1.794589,100.0,100.0,100.0,1,ground
4.775997,1.309050,-1.802434,100.0,100.0,100.0,1,ground
4.759379,1.352651,-1.800875,100.0,100.0,100.0,1,ground
4.741730,1.395869,-1.799075,100.0,100.0,100.0,1,ground
4.731110,1.441136,-1.800100,100.0,100.0,100.0,1,ground
4.698514,1.479542,-1.792903,100.0,100.0,100.0,1,ground
4.689722,1.525304,-1.794932,100.0,100.0,100.0,1,ground
4.699094,1.577278,-1.804106,100.0,100.0,100.0,1,ground
4.687637,1.622547,-1.805476,100.0,100.0,100.0,1,ground
4.648766,1.658118,-1.796420,100.0,100.0,100.0,1,ground
4.646051,1.706475,-1.801482,100.0,100.0,100.0,1,ground
4.626177,1.748630,-1.800061,100.0,100.0,100.0,1,ground
4.598257,1.787582,-1.795647,100.0,100.0,100.0,1,ground
4.629542,1.849952,-1.814565,100.0,100.0,100.0,1,ground
4.592743,1.885431,-1.806999,100.0,100.0,100.0,1,ground
4.590238,1.934948,-1.813080,100.0,100.0,100.0,1,ground
4.534832,1.961923,-1.798390,100.0,100.0,100.0,1,ground
4.558303,2.023082,-1.815149,100.0,100.0,100.0,1,ground
4.488967,2.042958,-1.795097,100.0,100.0,100.0,1,ground
4.524670,2.110696,-1.817217,100.0,100.0,100.0,1,ground
4.493140,2.147569,-1.812570,100.0,100.0,100.0,1,ground
4.460887,2.183825,-1.807749,100.0,100.0,100.0,1,ground
4.442864,2.226940,-1.808837,100.0,100.0,100.0,1,ground
4.395496,2.255068,-1.798091,100.0,100.0,100.0,1,ground
4.403249,2.311510,-1.810059,100.0,100.0,100.0,1,ground
4.363008,2.342886,-1.802478,100.0,100.0,100.0,1,ground
4.344822,2.385931,-1.804138,100.0,100.0,100.0,1,ground
4.291123,2.409142,-1.791152,100.0,100.0,100.0,1,ground
4.292432,2.463150,-1.801270,100.0,100.0,100.0,1,ground
4.264303,2.500507,-1.799236,100.0,100.0,100.0,1,ground
4.272435,2.559468,-1.812725,100.0,100.0,100.0,1,ground
4.177445,2.556151,-1.782524,100.0,100.0,100.0,1,ground
4.196292,2.622135,-1.800989,100.0,100.0,100.0,1,ground
4.439624,-2.774185,-1.802593,100.0,100.0,100.0,1,ground
4.479688,-2.741091,-1.808333,100.0,100.0,100.0,1,ground
4.466704,-2.675848,-1.792873,100.0,100.0,100.0,1,ground
4.530341,-2.656507,-1.808327,100.0,100.0,100.0,1,ground
4.559696,-2.616516,-1.810161,100.0,100.0,100.0,1,ground
4.587108,-2.575315,-1.811366,100.0,100.0,100.0,1,ground
4.585359,-2.518021,-1.801263,100.0,100.0,100.0,1,ground
4.592641,-2.466196,-1.794950,100.0,100.0,100.0,1,ground
4.594484,-2.411900,-1.786743,100.0,100.0,100.0,1,ground
4.659150,-2.390333,-1.803086,100.0,100.0,100.0,1,ground
4.676515,-2.344055,-1.801211,100.0,100.0,100.0,1,ground
4.673332,-2.287827,-1.791635,100.0,100.0,100.0,1,ground
4.725150,-2.258462,-1.803294,100.0,100.0,100.0,1,ground
4.753342,-2.217369,-1.806030,100.0,100.0,100.0,1,ground
4.762309,-2.167358,-1.801627,100.0,100.0,100.0,1,ground
4.767473,-2.115917,-1.795988,100.0,100.0,100.0,1,ground
3.628016,-1.569604,-1.361125,200.0,60.0,60.0,1,occluder
3.640761,-1.534709,-1.360442,200.0,60.0,60.0,1,occluder
3.647441,-1.497362,-1.357626,200.0,60.0,60.0,1,occluder
3.651005,-1.458931,-1.353795,200.0,60.0,60.0,1,occluder
3.652322,-1.419848,-1.349282,200.0,60.0,60.0,1,occluder
3.647725,-1.378788,-1.342743,200.0,60.0,60.0,1,occluder
3.629225,-1.332999,-1.331269,200.0,60.0,60.0,1,occluder
3.654934,-1.303638,-1.336152,200.0,60.0,60.0,1,occluder
3.649334,-1.263156,-1.329711,200.0,60.0,60.0,1,occluder
3.666244,-1.230596,-1.331605,200.0,60.0,60.0,1,occluder
3.671031,-1.193981,-1.329214,200.0,60.0,60.0,1,occluder
3.666913,-1.154695,-1.323740,200.0,60.0,60.0,1,occluder
3.657693,-1.114164,-1.316578,200.0,60.0,60.0,1,occluder
3.630985,-1.068889,-1.303296,200.0,60.0,60.0,1,occluder
3.684713,-1.047223,-1.318994,200.0,60.0,60.0,1,occluder
3.650854,-1.000660,-1.303454,200.0,60.0,60.0,1,occluder
3.654406,-0.964848,-1.301432,200.0,60.0,60.0,1,occluder
3.651010,-0.927381,-1.297065,200.0,60.0,60.0,1,occluder
3.645264,-0.889582,-1.292000,200.0,60.0,60.0,1,occluder
3.639108,-0.851968,-1.286927,200.0,60.0,60.0,1,occluder
3.666881,-0.822243,-1.293962,200.0,60.0,60.0,1,occluder
3.630049,-0.778271,-1.278330,200.0,60.0,60.0,1,occluder
3.624193,-0.741503,-1.273761,200.0,60.0,60.0,1,occluder
3.644134,-0.710012,-1.278371,200.0,60.0,60.0,1,occluder
3.655204,-0.676620,-1.279969,200.0,60.0,60.0,1,occluder
3.652584,-0.640735,-1.276890,200.0,60.0,60.0,1,occluder
3.640053,-0.603375,-1.270473,200.0,60.0,60.0,1,occluder
3.636486,-0.567765,-1.267312,200.0,60.0,60.0,1,occluder
3.614164,-0.529578,-1.257745,200.0,60.0,60.0,1,occluder
3.669264,-0.502517,-1.275222,200.0,60.0,60.0,1,occluder
3.639931,-0.463736,-1.263459,200.0,60.0,60.0,1,occluder
3.665863,-0.432112,-1.270997,200.0,60.0,60.0,1,occluder
3.678326,-0.398612,-1.273964,200.0,60.0,60.0,1,occluder
4.014992,-0.397003,-1.389214,200.0,60.0,60.0,1,occluder
5.224741,-0.467145,-1.806199,100.0,100.0,100.0,1,ground
5.230905,-0.418243,-1.806893,100.0,100.0,100.0,1,ground
5.237195,-0.369308,-1.807789,100.0,100.0,100.0,1,ground
5.197787,-0.317528,-1.793078,100.0,100.0,100.0,1,ground
5.218378,-0.269646,-1.799229,100.0,100.0,100.0,1,ground
5.225552,-0.220858,-1.800908,100.0,100.0,100.0,1,ground
5.250026,-0.172543,-1.808705,100.0,100.0,100.0,1,ground
5.229694,-0.122746,-1.801224,100.0,100.0,100.0,1,ground
5.237909,-0.073754,-1.803735,100.0,100.0,100.0,1,ground
5.239100,-0.024589,-1.803987,100.0,100.0,100.0,1,ground
5.227028,0.024532,-1.799830,100.0,100.0,100.0,1,ground
5.239909,0.073783,-1.804424,100.0,100.0,100.0,1,ground
5.255445,0.123350,-1.810093,100.0,100.0,100.0,1,ground
5.227171,0.171791,-1.800831,100.0,100.0,100.0,1,ground
5.258374,0.222245,-1.812220,100.0,100.0,100.0,1,ground
5.210395,0.269234,-1.796476,100.0,100.0,100.0,1,ground
5.223218,0.319081,-1.801851,100.0,100.0,100.0,1,ground
5.193321,0.366214,-1.792644,100.0,100.0,100.0,1,ground
5.153792,0.412078,-1.780256,100.0,100.0,100.0,1,ground
5.224708,0.467142,-1.806188,100.0,100.0,100.0,1,ground
5.187480,0.512939,-1.794904,100.0,100.0,100.0,1,ground
5.178023,0.561130,-1.793375,100.0,100.0,100.0,1,ground
5.215821,0.614812,-1.808385,100.0,100.0,100.0,1,ground
5.174908,0.659296,-1.796266,100.0,100.0,100.0,1,ground
5.159507,0.706610,-1.793144,100.0,100.0,100.0,1,ground
5.141416,0.753363,-1.789236,100.0,100.0,100.0,1,ground
5.122331,0.799750,-1.785128,100.0,100.0,100.0,1,ground
5.149534,0.853586,-1.797321,100.0,100.0,100.0,1,ground
5.155974,0.904460,-1.802453,100.0,100.0,100.0,1,ground
5.155687,0.954377,-1.805405,100.0,100.0,100.0,1,ground
5.112783,0.996159,-1.793576,100.0,100.0,100.0,1,ground
5.124972,1.048559,-1.801225,100.0,100.0,100.0,1,ground
5.085556,1.090327,-1.790891,100.0,100.0,100.0,1,ground
5.091585,1.141711,-1.796709,100.0,100.0,100.0,1,ground
5.122462,1.199244,-1.811497,100.0,100.0,100.0,1,ground
5.078143,1.239259,-1.799859,100.0,100.0,100.0,1,ground
5.044366,1.281303,-1.792071,100.0,100.0,100.0,1,ground
5.041768,1.331143,-1.795508,100.0,100.0,100.0,1,ground
5.057207,1.386126,-1.805560,100.0,100.0,100.0,1,ground
5.026087,1.428451,-1.799158,100.0,100.0,100.0,1,ground
4.997093,1.471043,-1.793643,100.0,100.0,100.0,1,ground
4.997878,1.522396,-1.798975,100.0,100.0,100.0,1,ground
4.959251,1.561647,-1.790269,100.0,100.0,100.0,1,ground
4.988199,1.622382,-1.806137,100.0,100.0,100.0,1,ground
4.938755,1.657721,-1.793790,100.0,100.0,100.0,1,ground
4.940327,1.710011,-1.800111,100.0,100.0,100.0,1,ground
4.919828,1.754800,-1.798565,100.0,100.0,100.0,1,ground
4.925344,1.809058,-1.806710,100.0,100.0,100.0,1,ground
4.926354,1.862092,-1.813412,100.0,100.0,100.0,1,ground
4.850162,1.885511,-1.791802,100.0,100.0,100.0,1,ground
4.844339,1.935785,-1.796284,100.0,100.0,100.0,1,ground
4.857324,1.994048,-1.807960,100.0,100.0,100.0,1,ground
4.801328,2.023930,-1.794110,100.0,100.0,100.0,1,ground
4.777595,2.066951,-1.792413,100.0,100.0,100.0,1,ground
4.807913,2.133865,-1.811222,100.0,100.0,100.0,1,ground
4.742263,2.158235,-1.794044,100.0,100.0,100.0,1,ground
4.710969,2.197602,-1.789930,100.0,100.0,100.0,1,ground
4.720850,2.256406,-1.801653,100.0,100.0,100.0,1,ground
4.692452,2.297187,-1.798965,100.0,100.0,100.0,1,ground
4.671584,2.341584,-1.799312,100.0,100.0,100.0,1,ground
4.652008,2.386669,-1.800322,100.0,100.0,100.0,1,ground
4.621390,2.426025,-1.797207,100.0,100.0,100.0,1,ground
4.615528,2.478486,-1.803895,100.0,100.0,100.0,1,ground
4.609954,2.531527,-1.810924,100.0,100.0,100.0,1,ground
4.547183,2.552900,-1.795601,100.0,100.0,100.0,1,ground
4.540455,2.605475,-1.802522,100.0,100.0,100.0,1,ground
4.488983,2.632255,-1.791819,100.0,100.0,100.0,1,ground
4.479986,2.683805,-1.798204,100.0,100.0,100.0,1,ground
4.465982,2.732704,-1.802800,100.0,100.0,100.0,1,ground
4.439185,2.773910,-1.802414,100.0,100.0,100.0,1,ground
4.695230,-2.933905,-1.798922,100.0,100.0,100.0,1,ground
4.714796,-2.884952,-1.795964,100.0,100.0,100.0,1,ground
4.744879,-2.842493,-1.797180,100.0,100.0,100.0,1,ground
4.746986,-2.783543,-1.788003,100.0,100.0,100.0,1,ground
4.840883,-2.777871,-1.813469,100.0,100.0,100.0,1,ground
4.825767,-2.709304,-1.798199,100.0,100.0,100.0,1,ground
4.841229,-2.658530,-1.794583,100.0,100.0,100.0,1,ground
4.874083,-2.617327,-1.797575,100.0,100.0,100.0,1,ground
4.903887,-2.574323,-1.799576,100.0,100.0,100.0,1,ground
4.942235,-2.535567,-1.804834,100.0,100.0,100.0,1,ground
4.969719,-2.491021,-1.806252,100.0,100.0,100.0,1,ground
4.970671,-2.433389,-1.798217,100.0,100.0,100.0,1,ground
4.977314,-2.378987,-1.792462,100.0,100.0,100.0,1,ground
5.043803,-2.352864,-1.808373,100.0,100.0,100.0,1,ground
5.028675,-2.288582,-1.795168,100.0,100.0,100.0,1,ground
5.044655,-2.238937,-1.793291,100.0,100.0,100.0,1,ground
3.658058,-1.582601,-1.295041,200.0,60.0,60.0,1,occluder
3.688535,-1.554848,-1.300606,200.0,60.0,60.0,1,occluder
3.622671,-1.487193,-1.272404,200.0,60.0,60.0,1,occluder
3.607118,-1.441395,-1.262133,200.0,60.0,60.0,1,occluder
3.638354,-1.414418,-1.268361,200.0,60.0,60.0,1,occluder
3.626933,-1.370930,-1.259838,200.0,60.0,60.0,1,occluder
3.643726,-1.338325,-1.261252,200.0,60.0,60.0,1,occluder
3.651021,-1.302243,-1.259490,200.0,60.0,60.0,1,occluder
3.641711,-1.260517,-1.252141,200.0,60.0,60.0,1,occluder
3.667258,-1.230936,-1.256897,200.0,60.0,60.0,1,occluder
3.650353,-1.187256,-1.247229,200.0,60.0,60.0,1,occluder
3.659690,-1.152421,-1.246667,200.0,60.0,60.0,1,occluder
3.657418,-1.114080,-1.242276,200.0,60.0,60.0,1,occluder
3.678902,-1.082994,-1.246066,200.0,60.0,60.0,1,occluder
3.641433,-1.034923,-1.230030,200.0,60.0,60.0,1,occluder
3.655722,-1.001994,-1.231625,200.0,60.0,60.0,1,occluder
3.652673,-0.964390,-1.227494,200.0,60.0,60.0,1,occluder
3.666112,-0.931217,-1.229019,200.0,60.0,60.0,1,occluder
3.645045,-0.889529,-1.219103,200.0,60.0,60.0,1,occluder
3.632314,-0.850378,-1.212122,200.0,60.0,60.0,1,occluder
3.647188,-0.817827,-1.214471,200.0,60.0,60.0,1,occluder
3.631429,-0.778567,-1.206736,200.0,60.0,60.0,1,occluder
3.672754,-0.751438,-1.218071,200.0,60.0,60.0,1,occluder
3.652334,-0.711610,-1.209030,200.0,60.0,60.0,1,occluder
3.640298,-0.673861,-1.202899,200.0,60.0,60.0,1,occluder
3.658348,-0.641747,-1.206820,200.0,60.0,60.0,1,occluder
3.623026,-0.600552,-1.193255,200.0,60.0,60.0,1,occluder
3.646924,-0.569394,-1.199313,200.0,60.0,60.0,1,occluder
3.671070,-0.537916,-1.205540,200.0,60.0,60.0,1,occluder
3.674807,-0.503276,-1.205163,200.0,60.0,60.0,1,occluder
3.668003,-0.467312,-1.201440,200.0,60.0,60.0,1,occluder
3.617071,-0.426360,-1.183394,200.0,60.0,60.0,1,occluder
3.738011,-0.405079,-1.221664,200.0,60.0,60.0,1,occluder
4.056569,-0.401114,-1.324487,200.0,60.0,60.0,1,occluder
5.501942,-0.491930,-1.794821,100.0,100.0,100.0,1,ground
5.521024,-0.441440,-1.799615,100.0,100.0,100.0,1,ground
5.513083,-0.388763,-1.795757,100.0,100.0,100.0,1,ground
5.543415,-0.338642,-1.804522,100.0,100.0,100.0,1,ground
5.544112,-0.286478,-1.803795,100.0,100.0,100.0,1,ground
5.552623,-0.234682,-1.805767,100.0,100.0,100.0,1,ground
5.571161,-0.183097,-1.811157,100.0,100.0,100.0,1,ground
5.556030,-0.130405,-1.805761,100.0,100.0,100.0,1,ground
5.552957,-0.078191,-1.804444,100.0,100.0,100.0,1,ground
5.523924,-0.025926,-1.794852,100.0,100.0,100.0,1,ground
5.534976,0.025978,-1.798443,100.0,100.0,100.0,1,ground
5.550660,0.078158,-1.803698,100.0,100.0,100.0,1,ground
5.509429,0.129311,-1.790615,100.0,100.0,100.0,1,ground
5.535131,0.181913,-1.799444,100.0,100.0,100.0,1,ground
5.548174,0.234494,-1.804321,100.0,100.0,100.0,1,ground
5.516617,0.285057,-1.794849,100.0,100.0,100.0,1,ground
5.520660,0.337252,-1.797115,100.0,100.0,100.0,1,ground
5.487180,0.386936,-1.787320,100.0,100.0,100.0,1,ground
5.532141,0.442329,-1.803238,100.0,100.0,100.0,1,ground
5.535609,0.494940,-1.805804,100.0,100.0,100.0,1,ground
5.481594,0.542021,-1.789764,100.0,100.0,100.0,1,ground
5.517228,0.597889,-1.803151,100.0,100.0,100.0,1,ground
5.501460,0.648482,-1.799908,100.0,100.0,100.0,1,ground
5.485733,0.698895,-1.796830,100.0,100.0,100.0,1,ground
5.491887,0.752131,-1.801079,100.0,100.0,100.0,1,ground
5.478264,0.802721,-1.799003,100.0,100.0,100.0,1,ground
5.446544,0.850369,-1.791129,100.0,100.0,100.0,1,ground
5.442309,0.902117,-1.792442,100.0,100.0,100.0,1,ground
5.480448,0.961379,-1.807896,100.0,100.0,100.0,1,ground
5.436412,1.006342,-1.796406,100.0,100.0,100.0,1,ground
5.428022,1.057579,-1.796835,100.0,100.0,100.0,1,ground
5.431496,1.111274,-1.801359,100.0,100.0,100.0,1,ground
5.401024,1.157962,-1.794779,100.0,100.0,100.0,1,ground
5.441106,1.220086,-1.811824,100.0,100.0,100.0,1,ground
5.421551,1.269264,-1.809200,100.0,100.0,100.0,1,ground
5.387983,1.314872,-1.802038,100.0,100.0,100.0,1,ground
5.346348,1.358008,-1.792297,100.0,100.0,100.0,1,ground
5.346892,1.411703,-1.796843,100.0,100.0,100.0,1,ground
5.320199,1.458210,-1.792394,100.0,100.0,100.0,1,ground
5.337541,1.516969,-1.802954,100.0,100.0,100.0,1,ground
5.303505,1.561245,-1.796329,100.0,100.0,100.0,1,ground
5.290202,1.611440,-1.796867,100.0,100.0,100.0,1,ground
5.292821,1.666687,-1.802991,100.0,100.0,100.0,1,ground
5.246577,1.706418,-1.792615,100.0,100.0,100.0,1,ground
5.252201,1.762931,-1.800112,100.0,100.0,100.0,1,ground
5.173348,1.790668,-1.778769,100.0,100.0,100.0,1,ground
5.222595,1.862790,-1.801635,100.0,100.0,100.0,1,ground
5.155666,1.893654,-1.784600,100.0,100.0,100.0,1,ground
5.195114,1.963679,-1.804555,100.0,100.0,100.0,1,ground
5.162979,2.007119,-1.799858,100.0,100.0,100.0,1,ground
5.140184,2.054003,-1.798554,100.0,100.0,100.0,1,ground
5.104505,2.095522,-1.792873,100.0,100.0,100.0,1,ground
5.094023,2.147311,-1.796192,100.0,100.0,100.0,1,ground
5.093730,2.203722,-1.803303,100.0,100.0,100.0,1,ground
5.078123,2.253790,-1.805189,100.0,100.0,100.0,1,ground
5.076468,2.310333,-1.812230,100.0,100.0,100.0,1,ground
4.979537,2.322886,-1.785332,100.0,100.0,100.0,1,ground
5.000259,2.389955,-1.800726,100.0,100.0,100.0,1,ground
4.973902,2.434971,-1.799386,100.0,100.0,100.0,1,ground
4.949654,2.480963,-1.798960,100.0,100.0,100.0,1,ground
4.911093,2.519590,-1.793462,100.0,100.0,100.0,1,ground
4.908791,2.576897,-1.801375,100.0,100.0,100.0,1,ground
4.877411,2.619115,-1.798803,100.0,100.0,100.0,1,ground
4.847631,2.662046,-1.796956,100.0,100.0,100.0,1,ground
4.874087,2.736432,-1.816205,100.0,100.0,100.0,1,ground
4.821268,2.766615,-1.806120,100.0,100.0,100.0,1,ground
4.761848,2.792258,-1.793601,100.0,100.0,100.0,1,ground
4.748399,2.844602,-1.798513,100.0,100.0,100.0,1,ground
4.719696,2.887951,-1.797831,100.0,100.0,100.0,1,ground
4.707532,2.941593,-1.803636,100.0,100.0,100.0,1,ground
5.033654,-3.145376,-1.814688,100.0,100.0,100.0,1,ground
5.018204,-3.070605,-1.798647,100.0,100.0,100.0,1,ground
5.027211,-3.011628,-1.791664,100.0,100.0,100.0,1,ground
5.086972,-2.982905,-1.802904,100.0,100.0,100.0,1,ground
5.114313,-2.934775,-1.802751,100.0,100.0,100.0,1,ground
5.132120,-2.881298,-1.799415,100.0,100.0,100.0,1,ground
5.159083,-2.833077,-1.799465,100.0,100.0,100.0,1,ground
5.150725,-2.765881,-1.787415,100.0,100.0,100.0,1,ground
5.209460,-2.734735,-1.798810,100.0,100.0,100.0,1,ground
5.252258,-2.694621,-1.804775,100.0,100.0,100.0,1,ground
5.217317,-2.615127,-1.784255,100.0,100.0,100.0,1,ground
5.302095,-2.595638,-1.804835,100.0,100.0,100.0,1,ground
5.325268,-2.545298,-1.804511,100.0,100.0,100.0,1,ground
5.346239,-2.493947,-1.803605,100.0,100.0,100.0,1,ground
5.359701,-2.439234,-1.800342,100.0,100.0,100.0,1,ground
5.389619,-2.392040,-1.802770,100.0,100.0,100.0,1,ground
3.677638,-1.591072,-1.225081,200.0,60.0,60.0,1,occluder
3.612808,-1.522926,-1.198670,200.0,60.0,60.0,1,occluder
3.668271,-1.505913,-1.212329,200.0,60.0,60.0,1,occluder
3.658172,-1.461795,-1.204403,200.0,60.0,60.0,1,occluder
3.627721,-1.410284,-1.189966,200.0,60.0,60.0,1,occluder
3.662485,-1.384367,-1.197054,200.0,60.0,60.0,1,occluder
3.688987,-1.354949,-1.201507,200.0,60.0,60.0,1,occluder
3.637388,-1.297380,-1.180682,200.0,60.0,60.0,1,occluder
3.653143,-1.264474,-1.181891,200.0,60.0,60.0,1,occluder
3.625088,-1.216781,-1.169068,200.0,60.0,60.0,1,occluder
3.647411,-1.186299,-1.172624,200.0,60.0,60.0,1,occluder
3.686123,-1.160744,-1.181515,200.0,60.0,60.0,1,occluder
3.647651,-1.111105,-1.165789,200.0,60.0,60.0,1,occluder
3.623057,-1.066555,-1.154678,200.0,60.0,60.0,1,occluder
3.630553,-1.031830,-1.153930,200.0,60.0,60.0,1,occluder
3.659426,-1.003010,-1.160063,200.0,60.0,60.0,1,occluder
3.639454,-0.960900,-1.150821,200.0,60.0,60.0,1,occluder
3.653097,-0.927911,-1.152330,200.0,60.0,60.0,1,occluder
3.630445,-0.885966,-1.142511,200.0,60.0,60.0,1,occluder
3.625820,-0.848858,-1.138498,200.0,60.0,60.0,1,occluder
3.626288,-0.813141,-1.136198,200.0,60.0,60.0,1,occluder
3.645240,-0.781528,-1.139788,200.0,60.0,60.0,1,occluder
